Sequence	MissingNumber
AGBL3.fas	48
AGBL4.fas	14
AGBL5.fas	3
AGER.fas	3
AGFG1.fas	1
AGFG2.fas	1
AGGF1.fas	4
AGK.fas	4
AGL.fas	4
AGMAT.fas	1
AGMO.fas	23
AGO1.fas	2
AGO2.fas	4
AGO3.fas	1
AGO4.fas	8
AGPAT1.fas	2
AGPAT2.fas	8
AGPAT3.fas	11
AGPAT4.fas	5
AGPAT5.fas	1
AGPS.fas	26
AGR2.fas	2
AGR3.fas	85
AGRN.fas	12
AGRP.fas	1
AGT.fas	7
AGTPBP1.fas	6
AGTR1.fas	4
AGTR2.fas	21
AGTRAP.fas	3
AGXT.fas	6
AGXT2.fas	7
AHCTF1.fas	3
AHCY.fas	8
AHCYL1.fas	0
AHCYL2.fas	5
AHDC1.fas	32
AHI1.fas	19
AHR.fas	5
AHRR.fas	20
AHSA1.fas	0
AHSG.fas	2
AHSP.fas	6
AICDA.fas	7
AIDA.fas	11
AIF1.fas	4
AIF1L.fas	2
AIFM1.fas	3
AIFM2.fas	3
AIFM3.fas	5
AIG1.fas	5
AIM2.fas	160
AIMP1.fas	2
AIMP2.fas	3
AIP.fas	2
AIPL1.fas	6
AIRE.fas	6
AJAP1.fas	15
AJM1.fas	90
AJUBA.fas	5
AK1.fas	1
AK2.fas	1
AK3.fas	3
AK4.fas	6
AK5.fas	3
AK6.fas	4
AK7.fas	4
AK8.fas	6
AK9.fas	7
AKAIN1.fas	3
AKAP1.fas	8
AKAP10.fas	8
AKAP11.fas	9
AKAP14.fas	10
AKAP17A.fas	88
AKAP3.fas	15
AKAP4.fas	38
AKAP5.fas	11
AKAP7.fas	26
AKAP8.fas	2
AKAP8L.fas	3
AKAP9.fas	31
AKIP1.fas	3
AKIRIN1.fas	4
AKIRIN2.fas	2
AKNA.fas	8
AKNAD1.fas	56
AKR1A1.fas	3
AKR1B1.fas	7
AKR1D1.fas	7
AKR1E2.fas	98
AKT1.fas	20
AKT1S1.fas	8
AKT2.fas	5
AKT3.fas	5
AKTIP.fas	1
AL022312.fas	1
AL031178.fas	3
AL034430.fas	4
AL035699.fas	8
AL162231.fas	8
AL353579.fas	12
AL359092.fas	4
ALAD.fas	0
ALAS1.fas	1
ALAS2.fas	4
ALB.fas	2
ALCAM.fas	5
ALDH16A1.fas	9
ALDH18A1.fas	2
ALDH1A1.fas	17
ALDH1A2.fas	4
ALDH1A3.fas	3
ALDH1B1.fas	95
ALDH1L1.fas	17
ALDH1L2.fas	4
ALDH2.fas	3
ALDH3A1.fas	26
ALDH3A2.fas	5
ALDH3B1.fas	17
ALDH3B2.fas	53
ALDH4A1.fas	3
ALDH5A1.fas	6
ALDH6A1.fas	4
ALDH7A1.fas	9
ALDH8A1.fas	8
ALDH9A1.fas	4
ALDOA.fas	4
ALDOB.fas	3
ALDOC.fas	1
ALG1.fas	4
ALG10.fas	8
ALG10B.fas	9
ALG11.fas	4
ALG12.fas	10
ALG13.fas	6
ALG14.fas	2
ALG1L.fas	6
ALG1L2.fas	6
ALG2.fas	3
ALG3.fas	0
ALG5.fas	3
ALG6.fas	5
ALG8.fas	17
ALG9.fas	3
ALK.fas	2
ALKAL1.fas	25
ALKAL2.fas	18
ALKBH1.fas	5
ALKBH2.fas	3
ALKBH3.fas	2
ALKBH4.fas	4
ALKBH5.fas	25
ALKBH6.fas	2
ALKBH7.fas	5
ALKBH8.fas	9
ALLC.fas	50
ALOX12.fas	9
ALOX12B.fas	36
ALOX15.fas	58
ALOX15B.fas	45
ALOX5.fas	1
ALOX5AP.fas	12
ALOXE3.fas	31
ALPK1.fas	17
ALPK2.fas	17
ALPK3.fas	7
ALPL.fas	2
ALS2.fas	27
ALS2CL.fas	1
ALX1.fas	1
ALX3.fas	1
ALX4.fas	7
ALYREF.fas	4
AMACR.fas	1
AMBN.fas	8
AMBP.fas	1
AMBRA1.fas	4
AMD1.fas	12
AMDHD1.fas	6
AMDHD2.fas	11
AMELX.fas	18
AMELY.fas	19
AMER1.fas	20
AMER2.fas	67
AMER3.fas	8
AMFR.fas	5
AMH.fas	35
AMHR2.fas	4
AMIGO1.fas	1
AMIGO2.fas	11
AMIGO3.fas	8
AMMECR1.fas	9
AMMECR1L.fas	10
AMN.fas	30
AMN1.fas	6
AMOT.fas	6
AMOTL1.fas	5
AMOTL2.fas	3
AMPD1.fas	2
AMPD2.fas	1
AMPD3.fas	4
AMPH.fas	10
AMT.fas	1
AMTN.fas	1
AMZ1.fas	30
AMZ2.fas	6
ANAPC1.fas	9
ANAPC10.fas	6
ANAPC11.fas	255
ANAPC13.fas	5
ANAPC15.fas	75
ANAPC16.fas	3
ANAPC2.fas	1
ANAPC4.fas	6
ANAPC5.fas	5
ANAPC7.fas	1
ANG.fas	42
ANGEL1.fas	1
ANGEL2.fas	1
ANGPT1.fas	23
ANGPT2.fas	1
ANGPT4.fas	9
ANGPTL1.fas	3
ANGPTL2.fas	17
ANGPTL3.fas	9
ANGPTL4.fas	6
ANGPTL5.fas	21
ANGPTL6.fas	4
ANGPTL7.fas	1
ANGPTL8.fas	4
ANHX.fas	44
ANK1.fas	2
ANKAR.fas	6
ANKDD1A.fas	91
ANKDD1B.fas	81
ANKEF1.fas	3
ANKFN1.fas	3
ANKFY1.fas	5
ANKH.fas	2
ANKHD1.fas	4
ANKIB1.fas	3
ANKK1.fas	157
ANKLE1.fas	11
ANKLE2.fas	5
ANKMY1.fas	44
ANKMY2.fas	2
ANKRA2.fas	4
ANKRD1.fas	0
ANKRD10.fas	4
ANKRD13A.fas	3
ANKRD13B.fas	1
ANKRD13C.fas	3
ANKRD13D.fas	5
ANKRD16.fas	2
ANKRD17.fas	15
ANKRD2.fas	0
ANKRD22.fas	2
ANKRD23.fas	52
ANKRD24.fas	24
ANKRD27.fas	4
ANKRD28.fas	20
ANKRD29.fas	4
ANKRD31.fas	10
ANKRD33.fas	16
ANKRD33B.fas	14
ANKRD34A.fas	7
ANKRD34B.fas	15
ANKRD34C.fas	31
ANKRD35.fas	15
ANKRD37.fas	9
ANKRD39.fas	5
ANKRD40.fas	3
ANKRD40CL.fas	82
ANKRD42.fas	7
ANKRD44.fas	3
ANKRD45.fas	3
ANKRD46.fas	2
ANKRD49.fas	6
ANKRD50.fas	13
ANKRD52.fas	1
ANKRD53.fas	4
ANKRD54.fas	2
ANKRD55.fas	6
ANKRD6.fas	2
ANKRD60.fas	6
ANKRD61.fas	28
ANKRD63.fas	19
ANKRD65.fas	34
ANKRD66.fas	18
ANKRD7.fas	83
ANKRD9.fas	45
ANKS1A.fas	5
ANKS1B.fas	69
ANKS3.fas	3
ANKS4B.fas	8
ANKS6.fas	3
ANKUB1.fas	30
ANKZF1.fas	29
ANLN.fas	4
ANO1.fas	6
ANO10.fas	6
ANO2.fas	2
ANO3.fas	1
ANO4.fas	3
ANO5.fas	3
ANO6.fas	6
ANO7.fas	149
ANO8.fas	9
ANO9.fas	12
ANOS1.fas	42
ANP32A.fas	3
ANP32B.fas	1
ANP32D.fas	186
ANP32E.fas	4
ANPEP.fas	6
ANTKMT.fas	5
ANTXR1.fas	6
ANTXR2.fas	29
ANXA1.fas	3
ANXA10.fas	8
ANXA11.fas	0
ANXA13.fas	3
ANXA2.fas	9
ANXA3.fas	7
ANXA4.fas	4
ANXA5.fas	5
ANXA6.fas	5
ANXA7.fas	2
ANXA8.fas	34
ANXA8L1.fas	34
ANXA9.fas	37
AOAH.fas	7
AOC1.fas	14
AOC2.fas	58
AOC3.fas	108
AOPEP.fas	2
AOX1.fas	40
AP000471.fas	7
AP000721.fas	171
AP000812.fas	2
AP001054.fas	4
AP002884.fas	12
AP003419.fas	5
AP1AR.fas	6
AP1B1.fas	2
AP1G1.fas	1
AP1G2.fas	3
AP1M1.fas	2
AP1M2.fas	9
AP1S1.fas	2
AP1S2.fas	7
AP1S3.fas	3
AP2A1.fas	2
AP2A2.fas	3
AP2B1.fas	14
AP2M1.fas	1
AP2S1.fas	5
AP3B1.fas	6
AP3B2.fas	2
AP3D1.fas	6
AP3M1.fas	2
AP3M2.fas	1
AP3S1.fas	4
AP3S2.fas	5
AP4B1.fas	4
AP4E1.fas	3
AP4M1.fas	0
AP4S1.fas	18
AP5B1.fas	13
AP5M1.fas	4
AP5S1.fas	0
AP5Z1.fas	3
APAF1.fas	6
APBA1.fas	9
APBA2.fas	6
APBA3.fas	8
APBB1.fas	1
APBB1IP.fas	9
APBB2.fas	3
APBB3.fas	0
APCDD1.fas	2
APCDD1L.fas	36
APCS.fas	62
APEH.fas	1
APELA.fas	6
APEX1.fas	6
APEX2.fas	14
APH1A.fas	2
APH1B.fas	3
API5.fas	5
APIP.fas	2
APLF.fas	8
APLN.fas	2
APLNR.fas	26
APLP1.fas	2
APLP2.fas	1
APMAP.fas	7
APOA1.fas	7
APOA2.fas	11
APOA4.fas	8
APOA5.fas	15
APOBEC1.fas	14
APOBEC2.fas	3
APOBEC3H.fas	35
APOBEC4.fas	21
APOC1.fas	114
APOC2.fas	6
APOC3.fas	5
APOC4.fas	10
APOD.fas	4
APOE.fas	18
APOF.fas	19
APOH.fas	4
APOL5.fas	226
APOL6.fas	32
APOLD1.fas	14
APOM.fas	3
APOO.fas	6
APOOL.fas	18
APP.fas	4
APPBP2.fas	3
APPL1.fas	3
APPL2.fas	5
APRT.fas	4
APTX.fas	3
AQP1.fas	2
AQP10.fas	74
AQP11.fas	4
AQP12A.fas	75
AQP12B.fas	75
AQP2.fas	0
AQP3.fas	2
AQP4.fas	2
AQP5.fas	2
AQP6.fas	3
AQP7.fas	2
AQP8.fas	8
AQP9.fas	4
AQR.fas	4
AR.fas	23
ARAF.fas	4
ARAP1.fas	1
ARAP2.fas	5
ARAP3.fas	1
ARC.fas	21
ARCN1.fas	5
AREG.fas	1
AREL1.fas	2
ARF1.fas	12
ARF3.fas	0
ARF4.fas	9
ARF5.fas	4
ARF6.fas	4
ARFGAP1.fas	2
ARFGAP2.fas	1
ARFGAP3.fas	10
ARFGEF1.fas	3
ARFGEF2.fas	3
ARFGEF3.fas	4
ARFIP1.fas	6
ARFIP2.fas	0
ARFRP1.fas	4
ARG1.fas	3
ARG2.fas	1
ARGFX.fas	164
ARGLU1.fas	2
ARHGAP1.fas	1
ARHGAP10.fas	3
ARHGAP11A.fas	14
ARHGAP12.fas	2
ARHGAP15.fas	3
ARHGAP17.fas	3
ARHGAP18.fas	2
ARHGAP19.fas	3
ARHGAP21.fas	12
ARHGAP22.fas	10
ARHGAP23.fas	12
ARHGAP24.fas	8
ARHGAP25.fas	3
ARHGAP26.fas	1
ARHGAP27.fas	8
ARHGAP28.fas	3
ARHGAP29.fas	8
ARHGAP30.fas	2
ARHGAP31.fas	3
ARHGAP32.fas	9
ARHGAP33.fas	4
ARHGAP35.fas	7
ARHGAP36.fas	9
ARHGAP39.fas	16
ARHGAP4.fas	17
ARHGAP40.fas	189
ARHGAP42.fas	2
ARHGAP44.fas	6
ARHGAP45.fas	18
ARHGAP5.fas	11
ARHGAP6.fas	10
ARHGAP8.fas	47
ARHGAP9.fas	0
ARHGDIA.fas	7
ARHGDIB.fas	3
ARHGEF1.fas	5
ARHGEF10.fas	31
ARHGEF10L.fas	4
ARHGEF11.fas	3
ARHGEF12.fas	4
ARHGEF15.fas	4
ARHGEF16.fas	8
ARHGEF17.fas	26
ARHGEF18.fas	23
ARHGEF19.fas	1
ARHGEF2.fas	8
ARHGEF25.fas	1
ARHGEF26.fas	2
ARHGEF28.fas	7
ARHGEF3.fas	6
ARHGEF33.fas	4
ARHGEF35.fas	299
ARHGEF37.fas	3
ARHGEF38.fas	3
ARHGEF39.fas	1
ARHGEF4.fas	39
ARHGEF40.fas	1
ARHGEF5.fas	34
ARHGEF6.fas	4
ARHGEF7.fas	3
ARHGEF9.fas	6
ARID1A.fas	1
ARID1B.fas	1
ARID2.fas	16
ARID3A.fas	10
ARID3B.fas	4
ARID3C.fas	2
ARID4A.fas	8
ARID4B.fas	5
ARID5A.fas	4
ARID5B.fas	6
ARIH1.fas	3
ARIH2.fas	4
ARL1.fas	2
ARL10.fas	2
ARL11.fas	13
ARL13A.fas	35
ARL13B.fas	14
ARL14.fas	3
ARL14EP.fas	7
ARL14EPL.fas	2
ARL15.fas	7
ARL16.fas	2
ARL2.fas	3
ARL2BP.fas	5
ARL3.fas	0
ARL4A.fas	13
ARL4C.fas	7
ARL4D.fas	7
ARL5A.fas	4
ARL5B.fas	1
ARL5C.fas	82
ARL6.fas	3
ARL6IP1.fas	3
ARL6IP4.fas	78
ARL6IP5.fas	4
ARL6IP6.fas	6
ARL8A.fas	11
ARL8B.fas	8
ARL9.fas	5
ARMC1.fas	6
ARMC10.fas	2
ARMC12.fas	1
ARMC2.fas	4
ARMC3.fas	9
ARMC5.fas	3
ARMC6.fas	10
ARMC7.fas	4
ARMC8.fas	3
ARMC9.fas	7
ARMCX5.fas	30
ARMH1.fas	2
ARMH2.fas	6
ARMH3.fas	5
ARMH4.fas	13
ARMS2.fas	227
ARMT1.fas	5
ARNT.fas	4
ARNT2.fas	7
ARNTL.fas	1
ARNTL2.fas	41
ARPC1A.fas	5
ARPC1B.fas	4
ARPC2.fas	4
ARPC3.fas	8
ARPC4.fas	0
ARPC5.fas	4
ARPC5L.fas	1
ARPIN.fas	3
ARPP19.fas	9
ARPP21.fas	19
ARR3.fas	61
ARRB1.fas	2
ARRB2.fas	1
ARRDC1.fas	2
ARRDC2.fas	8
ARRDC3.fas	2
ARRDC4.fas	2
ARRDC5.fas	17
ARSA.fas	6
ARSB.fas	4
ARSD.fas	103
ARSF.fas	176
ARSG.fas	2
ARSH.fas	127
ARSI.fas	8
ARSJ.fas	7
ARSK.fas	1
ARSL.fas	72
ART1.fas	6
ART3.fas	7
ART4.fas	4
ART5.fas	7
ARTN.fas	48
ARV1.fas	3
ARVCF.fas	2
ARX.fas	104
AS3MT.fas	45
ASAH1.fas	3
ASAH2.fas	7
ASAH2B.fas	3
ASAP1.fas	5
ASAP2.fas	4
ASAP3.fas	4
ASB1.fas	4
ASB10.fas	5
ASB11.fas	5
ASB12.fas	15
ASB13.fas	17
ASB14.fas	117
ASB15.fas	5
ASB16.fas	16
ASB17.fas	8
ASB18.fas	22
ASB2.fas	5
ASB3.fas	6
ASB4.fas	4
ASB5.fas	3
ASB6.fas	3
ASB7.fas	1
ASB8.fas	1
ASB9.fas	2
ASCC1.fas	3
ASCC2.fas	0
ASCC3.fas	6
ASCL1.fas	24
ASCL2.fas	22
ASCL3.fas	5
ASCL4.fas	31
ASCL5.fas	28
ASDURF.fas	2
ASF1A.fas	4
ASF1B.fas	2
ASGR1.fas	8
ASGR2.fas	2
ASH1L.fas	17
ASH2L.fas	4
ASIC1.fas	1
ASIC2.fas	7
ASIC3.fas	2
ASIC4.fas	2
ASIC5.fas	49
ASIP.fas	12
ASL.fas	11
ASMT.fas	136
ASMTL.fas	78
ASNS.fas	4
ASNSD1.fas	10
ASPA.fas	6
ASPDH.fas	11
ASPG.fas	12
ASPH.fas	6
ASPHD1.fas	2
ASPHD2.fas	10
ASPN.fas	8
ASPRV1.fas	6
ASPSCR1.fas	3
ASRGL1.fas	13
ASS1.fas	1
ASTE1.fas	3
ASTL.fas	10
ASTN1.fas	3
ASTN2.fas	3
ASXL1.fas	6
ASXL2.fas	13
ASXL3.fas	56
ASZ1.fas	5
ATAD1.fas	4
ATAD2.fas	2
ATAD2B.fas	2
ATAD3A.fas	22
ATAD3B.fas	49
ATAD3C.fas	23
ATAD5.fas	8
ATAT1.fas	0
ATCAY.fas	21
ATE1.fas	4
ATF1.fas	4
ATF2.fas	2
ATF3.fas	4
ATF4.fas	11
ATF5.fas	53
ATF6.fas	38
ATF6B.fas	1
ATF7.fas	5
ATF7IP.fas	7
ATF7IP2.fas	12
ATG10.fas	2
ATG101.fas	1
ATG12.fas	3
ATG13.fas	10
ATG14.fas	3
ATG16L1.fas	3
ATG16L2.fas	0
ATG2A.fas	2
ATG2B.fas	8
ATG3.fas	3
ATG4A.fas	5
ATG4B.fas	0
ATG4C.fas	4
ATG4D.fas	3
ATG5.fas	3
ATG7.fas	4
ATG9A.fas	1
ATG9B.fas	31
ATIC.fas	7
ATL1.fas	10
ATL2.fas	1
ATL3.fas	5
ATM.fas	10
ATMIN.fas	20
ATN1.fas	31
ATOH1.fas	13
ATOH7.fas	19
ATOH8.fas	24
ATOX1.fas	2
ATP10A.fas	8
ATP10B.fas	4
ATP10D.fas	2
ATP11A.fas	5
ATP11B.fas	2
ATP11C.fas	5
ATP12A.fas	9
ATP13A1.fas	9
ATP13A2.fas	2
ATP13A3.fas	6
ATP13A4.fas	7
ATP13A5.fas	41
ATP1A1.fas	2
ATP1A2.fas	6
ATP1A3.fas	12
ATP1A4.fas	11
ATP1B1.fas	0
ATP1B2.fas	0
ATP1B3.fas	6
ATP1B4.fas	8
ATP23.fas	7
ATP2A1.fas	4
ATP2A2.fas	3
ATP2A3.fas	3
ATP2B1.fas	2
ATP2B2.fas	1
ATP2B3.fas	18
ATP2B4.fas	9
ATP2C1.fas	3
ATP2C2.fas	2
ATP4A.fas	1
ATP4B.fas	1
ATP5F1A.fas	6
ATP5F1B.fas	6
ATP5F1C.fas	4
ATP5F1D.fas	4
ATP5F1E.fas	2
ATP5IF1.fas	2
ATP5MC1.fas	0
ATP5MC2.fas	5
ATP5MC3.fas	1
ATP5ME.fas	7
ATP5MF.fas	5
ATP5MG.fas	1
ATP5MJ.fas	157
ATP5MK.fas	10
ATP5PB.fas	3
ATP5PD.fas	3
ATP5PF.fas	1
ATP5PO.fas	3
ATP6AP1.fas	5
ATP6AP1L.fas	18
ATP6AP2.fas	5
ATP6V0A1.fas	2
ATP6V0A2.fas	5
ATP6V0A4.fas	5
ATP6V0B.fas	2
ATP6V0C.fas	3
ATP6V0D1.fas	1
ATP6V0D2.fas	11
ATP6V0E1.fas	3
ATP6V0E2.fas	191
ATP6V1A.fas	3
ATP6V1B1.fas	0
ATP6V1B2.fas	10
ATP6V1C1.fas	1
ATP6V1C2.fas	4
ATP6V1D.fas	2
ATP6V1E1.fas	4
ATP6V1E2.fas	8
ATP6V1F.fas	2
ATP6V1FNB.fas	8
ATP6V1G1.fas	4
ATP6V1G2.fas	1
ATP6V1G3.fas	9
ATP6V1H.fas	5
ATP7A.fas	10
ATP7B.fas	4
