Sequence	MissingNumber
ANXA9	37
AOAH	7
AOC1	14
AOC2	59
AOC3	110
AOPEP	2
AOX1	39
AP000471	7
AP000721	171
AP000812	2
AP001054	4
AP002884	12
AP003419	5
AP1AR	6
AP1B1	2
AP1G1	1
AP1G2	3
AP1M1	2
AP1M2	9
AP1S1	2
AP1S2	7
AP1S3	3
AP2A1	2
AP2A2	3
AP2B1	14
AP2M1	1
AP2S1	5
AP3B1	6
AP3B2	2
AP3D1	6
AP3M1	2
AP3M2	1
AP3S1	4
AP3S2	5
AP4B1	4
AP4E1	3
AP4M1	0
AP4S1	18
AP5B1	13
AP5M1	4
AP5S1	0
AP5Z1	4
APAF1	6
APBA1	9
APBA2	6
APBA3	9
APBB1	1
APBB1IP	9
APBB2	3
APBB3	0
APCDD1	2
APCDD1L	36
APCS	61
APEH	1
APELA	6
APEX1	6
APEX2	14
APH1A	2
APH1B	3
API5	5
APIP	2
APLF	8
APLN	2
APLNR	27
APLP1	2
APLP2	1
APMAP	7
APOA1	8
APOA2	11
APOA4	8
APOA5	15
APOBEC1	14
APOBEC2	3
APOBEC3H	35
APOBEC4	21
APOC1	115
APOC2	6
APOC3	6
APOC4	10
APOD	4
APOE	18
APOF	19
APOH	4
APOL5	227
APOL6	32
APOLD1	14
APOM	3
APOO	6
APOOL	18
APP	4
APPBP2	3
APPL1	3
APPL2	5
APRT	4
APTX	3
AQP1	2
AQP10	75
AQP11	4
AQP12A	76
AQP12B	76
AQP2	0
AQP3	2
AQP4	2
AQP5	2
AQP6	3
AQP7	2
AQP8	8
AQP9	4
AQR	4
AR	23
ARAF	4
ARAP1	1
ARAP2	5
ARAP3	1
ARC	22
ARCN1	5
AREG	1
AREL1	2
ARF1	12
ARF3	0
ARF4	9
ARF5	4
ARF6	4
ARFGAP1	2
ARFGAP2	1
ARFGAP3	10
ARFGEF1	4
ARFGEF2	3
ARFGEF3	4
ARFIP1	6
ARFIP2	0
ARFRP1	4
ARG1	3
ARG2	1
ARGFX	164
ARGLU1	2
ARHGAP1	1
ARHGAP10	3
ARHGAP11A	14
ARHGAP12	2
ARHGAP15	3
ARHGAP17	3
ARHGAP18	2
ARHGAP19	3
ARHGAP21	12
ARHGAP22	10
ARHGAP23	12
ARHGAP24	8
ARHGAP25	3
ARHGAP26	1
ARHGAP27	8
ARHGAP28	3
ARHGAP29	8
ARHGAP30	2
ARHGAP31	3
ARHGAP32	9
ARHGAP33	4
ARHGAP35	7
ARHGAP36	9
ARHGAP39	16
ARHGAP4	17
ARHGAP40	190
ARHGAP42	2
ARHGAP44	6
ARHGAP45	18
ARHGAP5	11
ARHGAP6	10
ARHGAP8	47
ARHGAP9	0
ARHGDIA	7
ARHGDIB	3
ARHGEF1	5
ARHGEF10	31
ARHGEF10L	4
ARHGEF11	3
ARHGEF12	4
ARHGEF15	4
ARHGEF16	8
ARHGEF17	26
ARHGEF18	23
ARHGEF19	1
ARHGEF2	8
ARHGEF25	1
ARHGEF26	2
ARHGEF28	7
ARHGEF3	6
ARHGEF33	4
ARHGEF35	300
ARHGEF37	3
ARHGEF38	4
ARHGEF39	1
ARHGEF4	40
ARHGEF40	1
ARHGEF5	34
ARHGEF6	4
ARHGEF7	3
ARHGEF9	6
ARID1A	1
ARID1B	1
ARID2	16
ARID3A	10
ARID3B	4
ARID3C	2
ARID4A	8
ARID4B	5
ARID5A	4
ARID5B	6
ARIH1	3
ARIH2	4
ARL1	2
ARL10	2
ARL11	13
ARL13A	35
ARL13B	14
ARL14	3
ARL14EP	7
ARL14EPL	2
ARL15	7
ARL16	2
ARL2	3
ARL2BP	5
ARL3	0
ARL4A	13
ARL4C	7
ARL4D	7
ARL5A	4
ARL5B	1
ARL5C	82
ARL6	3
ARL6IP1	3
ARL6IP4	78
ARL6IP5	4
ARL6IP6	6
ARL8A	11
ARL8B	8
ARL9	5
ARMC1	6
ARMC10	2
ARMC12	1
ARMC2	4
ARMC3	9
ARMC5	3
ARMC6	10
ARMC7	4
ARMC8	3
ARMC9	7
ARMCX5	30
ARMH1	2
ARMH2	6
ARMH3	5
ARMH4	13
ARMS2	228
ARMT1	5
ARNT	4
ARNT2	7
ARNTL	1
ARNTL2	41
ARPC1A	6
ARPC1B	5
ARPC2	4
ARPC3	8
ARPC4	0
ARPC5	4
ARPC5L	1
ARPIN	3
ARPP19	9
ARPP21	19
ARR3	61
ARRB1	2
ARRB2	1
ARRDC1	2
ARRDC2	8
ARRDC3	2
ARRDC4	2
ARRDC5	17
ARSA	6
ARSB	4
ARSD	103
ARSF	178
ARSG	2
ARSH	127
ARSI	8
ARSJ	7
ARSK	1
ARSL	72
ART1	7
ART3	7
ART4	4
ART5	7
ARTN	49
ARV1	3
ARVCF	2
ARX	105
AS3MT	45
ASAH1	3
ASAH2	7
ASAH2B	3
ASAP1	5
ASAP2	4
ASAP3	4
ASB1	4
ASB10	5
ASB11	5
ASB12	15
ASB13	18
ASB14	118
ASB15	5
ASB16	16
ASB17	8
ASB18	22
ASB2	5
ASB3	6
ASB4	4
ASB5	3
ASB6	3
ASB7	1
ASB8	1
ASB9	2
ASCC1	3
ASCC2	0
ASCC3	6
ASCL1	24
ASCL2	23
ASCL3	5
ASCL4	32
ASCL5	28
ASDURF	2
ASF1A	4
ASF1B	2
ASGR1	8
ASGR2	2
ASH1L	17
ASH2L	4
ASIC1	1
ASIC2	7
ASIC3	2
ASIC4	2
ASIC5	49
ASIP	12
ASL	11
ASMT	136
ASMTL	79
ASNS	4
ASNSD1	10
ASPA	6
ASPDH	11
ASPG	12
ASPH	6
ASPHD1	2
ASPHD2	10
ASPN	8
ASPRV1	6
ASPSCR1	3
ASRGL1	13
ASS1	1
ASTE1	3
ASTL	10
ASTN1	3
ASTN2	3
ASXL1	6
ASXL2	13
ASXL3	56
ASZ1	5
ATAD1	4
ATAD2	2
ATAD2B	2
ATAD3A	22
ATAD3B	50
ATAD3C	23
ATAD5	8
ATAT1	0
ATCAY	21
ATE1	4
ATF1	4
ATF2	2
ATF3	4
ATF4	11
ATF5	53
ATF6	38
ATF6B	1
ATF7	5
ATF7IP	7
ATF7IP2	12
ATG10	2
ATG101	1
ATG12	3
ATG13	10
ATG14	3
ATG16L1	3
ATG16L2	0
ATG2A	2
ATG2B	8
ATG3	3
ATG4A	5
ATG4B	0
ATG4C	4
ATG4D	3
ATG5	3
ATG7	4
ATG9A	1
ATG9B	31
ATIC	7
ATL1	10
ATL2	1
ATL3	5
ATM	10
ATMIN	20
ATN1	31
ATOH1	14
ATOH7	19
ATOH8	24
ATOX1	2
ATP10A	8
ATP10B	4
ATP10D	2
ATP11A	5
ATP11B	2
ATP11C	5
ATP12A	9
ATP13A1	9
ATP13A2	2
ATP13A3	6
ATP13A4	7
ATP13A5	41
ATP1A1	2
ATP1A2	6
ATP1A3	12
ATP1A4	11
ATP1B1	0
ATP1B2	0
ATP1B3	6
ATP1B4	8
ATP23	7
ATP2A1	4
ATP2A2	3
ATP2A3	3
ATP2B1	2
ATP2B2	1
ATP2B3	18
ATP2B4	9
ATP2C1	3
ATP2C2	2
ATP4A	1
ATP4B	1
ATP5F1A	6
ATP5F1B	6
ATP5F1C	4
ATP5F1D	4
ATP5F1E	2
ATP5IF1	2
ATP5MC1	0
ATP5MC2	5
ATP5MC3	1
ATP5ME	7
ATP5MF	5
ATP5MG	1
ATP5MJ	157
ATP5MK	10
ATP5PB	3
ATP5PD	3
ATP5PF	1
ATP5PO	3
ATP6AP1	5
ATP6AP1L	18
ATP6AP2	5
ATP6V0A1	2
ATP6V0A2	5
ATP6V0A4	5
ATP6V0B	2
ATP6V0C	4
ATP6V0D1	1
ATP6V0D2	11
ATP6V0E1	3
ATP6V0E2	192
ATP6V1A	3
ATP6V1B1	0
ATP6V1B2	10
ATP6V1C1	1
ATP6V1C2	5
ATP6V1D	2
ATP6V1E1	4
ATP6V1E2	8
ATP6V1F	2
ATP6V1FNB	8
ATP6V1G1	4
ATP6V1G2	1
ATP6V1G3	9
ATP6V1H	6
ATP7A	10
ATP7B	4
ATP8A1	4
ATP8A2	7
ATP8B1	2
ATP8B2	4
ATP8B3	27
ATP8B4	9
ATP9A	4
ATP9B	7
ATPAF1	3
ATPAF2	3
ATPSCKMT	7
ATR	7
ATRAID	1
ATRIP	4
ATRN	4
ATRNL1	12
ATRX	25
ATXN1	17
ATXN10	3
ATXN1L	13
ATXN2	2
ATXN2L	5
ATXN3	3
ATXN3L	271
ATXN7	1
ATXN7L1	4
ATXN7L2	6
ATXN7L3	0
ATXN7L3B	6
AUH	9
AUNIP	5
AUP1	1
AURKA	4
AURKAIP1	11
AURKB	3
AURKC	17
AUTS2	15
AVEN	2
AVIL	2
AVL9	3
AVP	39
AVPI1	2
AVPR1A	12
AVPR1B	7
AVPR2	19
AWAT1	49
AWAT2	36
AXDND1	6
AXIN1	5
AXIN2	8
AXL	3
AZGP1	40
AZI2	3
AZIN1	12
AZIN2	11
AZU1	145
B2M	11
B3GALNT1	8
B3GALNT2	4
B3GALT1	3
B3GALT2	2
B3GALT4	34
B3GALT5	14
B3GALT6	69
B3GALT9	34
B3GAT1	8
B3GAT2	23
B3GAT3	4
B3GLCT	6
B3GNT2	12
B3GNT3	71
B3GNT4	36
B3GNT5	4
B3GNT6	82
B3GNT7	11
B3GNT8	8
B3GNT9	6
B3GNTL1	6
B4GALNT1	2
B4GALNT2	11
B4GALNT3	7
B4GALNT4	16
B4GALT1	4
B4GALT2	1
B4GALT3	2
B4GALT4	6
B4GALT5	2
B4GALT6	3
B4GALT7	2
B4GAT1	3
B9D1	14
B9D2	5
BAALC	6
BAAT	98
BABAM1	5
BABAM2	7
BACE1	0
BACE2	6
BACH1	6
BACH2	10
BAD	1
BAG1	3
BAG2	4
BAG3	2
BAG4	3
BAG5	7
BAG6	9
BAHCC1	8
BAHD1	5
BAIAP2	3
BAIAP2L1	6
BAIAP2L2	4
BAIAP3	4
BAK1	1
BAMBI	2
BANF1	6
BANF2	9
BANK1	8
BANP	17
BAP1	0
BARD1	4
BARHL1	7
BARHL2	4
BARX1	1
BARX2	1
BASP1	33
BATF	0
BATF2	10
BATF3	5
BAX	6
BAZ1A	3
BAZ1B	6
BAZ2A	4
BAZ2B	5
BBC3	35
BBIP1	272
BBOF1	7
BBOX1	3
BBS1	1
BBS10	8
BBS12	16
BBS2	9
BBS4	3
BBS5	2
BBS7	7
BBS9	9
BBX	4
BCAM	6
BCAN	2
BCAP29	7
BCAP31	3
BCAR1	8
BCAR3	4
BCAS1	4
BCAS2	1
BCAS3	5
BCAS4	39
BCAT1	7
BCAT2	5
BCCIP	3
BCDIN3D	10
BCHE	6
BCKDHA	5
BCKDHB	6
BCKDK	1
BCL10	7
BCL11A	11
BCL11B	54
BCL2	19
BCL2A1	9
BCL2L1	3
BCL2L10	79
BCL2L11	2
BCL2L12	4
BCL2L13	11
BCL2L14	4
BCL2L15	8
BCL2L2	1
BCL3	13
BCL6-AS1	11
BCL6	2
BCL6B	13
BCL7A	1
BCL7B	2
BCL7C	1
BCL9	4
BCL9L	13
BCLAF1	9
BCLAF3	7
BCO1	6
BCO2	21
BCOR	28
BCR	15
BCS1L	1
BDH1	47
BDH2	8
BDKRB1	18
BDKRB2	7
BDNF	3
BDP1	5
BEAN1	2
BECN1	2
BECN2	63
BEGAIN	24
BEND3	10
BEND4	3
BEND5	1
BEND6	2
BEND7	4
BEST1	18
BEST2	6
BEST3	3
BEST4	19
BET1	2
BET1L	173
BFAR	4
BFSP1	10
BFSP2	6
BGLAP	1
BGN	5
BHLHA15	26
BHLHA9	28
BHLHB9	32
BHLHE22	46
BHLHE23	50
BHLHE40	4
BHLHE41	69
BHMT	6
BHMT2	68
BICC1	5
BICD1	10
BICD2	7
BICDL1	2
BICDL2	2
BICRA	35
BICRAL	9
BID	4
BIK	5
BIN1	5
BIN2	8
BIN3	1
BIRC2	7
BIRC3	12
BIRC5	5
BIRC6	2
BIRC7	23
BIVM	2
BLACAT1	2
BLCAP	5
BLID	196
BLK	3
BLM	4
BLMH	4
BLNK	6
BLOC1S1	3
BLOC1S2	3
BLOC1S3	21
BLOC1S4	41
BLOC1S5	2
BLOC1S6	3
BLVRA	9
BLVRB	36
BLZF1	6
BMERB1	4
BMF	0
BMI1	5
BMP1	0
BMP10	2
BMP15	30
BMP2	4
BMP2K	22
BMP3	6
BMP4	7
BMP5	4
BMP6	9
BMP7	5
BMPER	10
BMPR1A	2
BMPR1B	4
BMPR2	7
BMS1	10
BMT2	7
BMX	21
BNC1	9
BNC2	7
BNIP1	3
BNIP2	3
BNIP3	14
BNIP3L	2
BNIP5	1
BNIPL	3
BOC	2
BOD1	6
BOD1L2	272
BOK	5
BOLA1	6
BOLA2	16
BOLA2B	17
BOLA3	3
BOLL	4
BOP1	11
BORA	3
BORCS5	2
BORCS6	17
BORCS7	4
BORCS8	2
BPGM	9
BPHL	9
BPI	10
BPIFA1	7
BPIFA3	5
BPIFB1	1
BPIFB2	26
BPIFB3	21
BPIFB4	30
BPIFB6	26
BPIFC	5
BPNT1	4
BPNT2	4
BPTF	13
BRAF	5
BRAP	9
BRAT1	5
BRCA1	34
BRCC3	15
BRD1	5
BRD2	4
BRD3	3
BRD3OS	165
BRD4	14
BRD7	2
BRD8	4
BRD9	10
BRDT	3
BRF1	6
BRF2	3
BRI3	13
BRI3BP	8
BRICD5	2
BRINP1	3
BRINP2	2
BRINP3	4
BRIP1	4
BRIX1	5
BRK1	6
BRME1	15
BRMS1	0
BRMS1L	2
BROX	1
BRPF1	5
BRPF3	1
BRS3	5
BRSK1	8
BRSK2	3
BRWD1	6
BRWD3	14
BSCL2	8
BSDC1	6
BSG	17
BSND	2
BSPH1	50
BSPRY	2
BST1	29
BST2	11
BSX	0
BTAF1	6
BTBD1	1
BTBD10	2
BTBD11	2
BTBD16	8
BTBD17	33
BTBD18	4
BTBD19	2
BTBD3	3
BTBD7	4
BTBD8	5
BTBD9	8
BTC	6
BTD	13
BTF3	5
BTF3L4	2
BTG1	8
BTG2	6
BTG3	2
BTG4	4
BTK	9
BTLA	35
BTN1A1	8
BTN2A1	40
BTN2A2	27
BTNL2	38
BTNL9	15
BTRC	1
BUB1	11
BUB1B	3
BUB3	2
BUD13	13
BUD23	1
BUD31	5
BVES	2
BX664615	283
BYSL	2
BZW1	1
BZW2	4
C10orf105	3
C10orf120	15
C10orf143	3
C10orf53	254
C10orf62	6
C10orf67	11
C10orf82	36
C10orf90	17
C10orf95	26
C10orf99	0
C11orf1	4
C11orf16	29
C11orf21	195
C11orf24	12
C11orf42	3
C11orf45	253
C11orf49	4
C11orf52	2
C11orf53	5
C11orf54	4
C11orf58	6
C11orf65	23
C11orf68	3
C11orf71	13
C11orf80	3
C11orf86	9
C11orf87	6
C11orf91	21
C11orf94	2
C11orf95	15
C11orf96	214
C11orf97	3
C11orf98	6
C12orf29	2
C12orf4	6
C12orf40	13
C12orf42	119
C12orf43	6
C12orf45	30
C12orf50	5
C12orf54	44
C12orf56	45
C12orf57	2
C12orf60	51
C12orf65	8
C12orf66	5
C12orf71	43
C12orf73	9
C12orf75	4
C12orf76	227
C13orf42	2
C13orf46	8
C14orf119	9
C14orf132	6
C14orf180	72
C14orf28	9
C14orf39	6
C14orf93	1
C15orf39	20
C15orf40	4
C15orf48	1
C15orf61	14
C15orf62	4
C15orf65	10
C16orf46	10
C16orf54	8
C16orf70	1
C16orf71	7
C16orf72	6
C16orf74	8
C16orf78	8
C16orf82	31
C16orf86	4
