Sequence	MissingNumber
ACYP1	6
ACYP2	268
ADA	6
ADA2	74
ADAD1	7
ADAD2	17
ADAL	4
ADAM10	6
ADAM11	3
ADAM12	8
ADAM15	1
ADAM17	5
ADAM19	2
ADAM2	19
ADAM20	130
ADAM21	97
ADAM22	16
ADAM23	3
ADAM28	4
ADAM29	67
ADAM30	138
ADAM32	26
ADAM33	1
ADAM7	24
ADAM8	4
ADAM9	34
ADAMDEC1	2
ADAMTS1	5
ADAMTS10	5
ADAMTS12	7
ADAMTS13	13
ADAMTS14	5
ADAMTS15	5
ADAMTS16	9
ADAMTS17	57
ADAMTS18	8
ADAMTS19	4
ADAMTS2	3
ADAMTS20	6
ADAMTS3	2
ADAMTS4	5
ADAMTS5	4
ADAMTS6	3
ADAMTS7	29
ADAMTS8	3
ADAMTS9	3
ADAMTSL1	4
ADAMTSL2	9
ADAMTSL3	15
ADAMTSL4	18
ADAMTSL5	15
ADAP1	17
ADAP2	4
ADAR	4
ADARB1	30
ADARB2	16
ADAT1	12
ADAT2	4
ADAT3	31
ADCK1	2
ADCK2	11
ADCK5	6
ADCY1	17
ADCY10	9
ADCY2	8
ADCY3	2
ADCY4	0
ADCY5	7
ADCY6	1
ADCY7	6
ADCY8	5
ADCY9	2
ADCYAP1	0
ADCYAP1R1	4
ADD1	11
ADD2	1
ADD3	3
ADGB	7
ADGRA1	195
ADGRA2	7
ADGRA3	5
ADGRB1	31
ADGRB2	2
ADGRB3	6
ADGRD1	15
ADGRE1	32
ADGRE3	68
ADGRF1	9
ADGRF2	45
ADGRF3	39
ADGRF4	33
ADGRF5	4
ADGRG1	8
ADGRG2	8
ADGRG3	3
ADGRG5	4
ADGRG6	8
ADGRG7	25
ADGRL1	4
ADGRL2	5
ADGRL3	3
ADGRL4	11
ADGRV1	8
ADH1A	28
ADH1C	33
ADH4	63
ADH5	9
ADH6	158
ADH7	185
ADHFE1	5
ADI1	24
ADIG	273
ADIPOQ	4
ADIPOR1	4
ADIPOR2	3
ADIRF	34
ADK	7
ADM	3
ADM2	12
ADM5	294
ADNP	7
ADNP2	15
ADO	12
ADORA1	4
ADORA2A	21
ADORA2B	7
ADORA3	4
ADPGK	15
ADPRH	2
ADPRM	2
ADPRS	3
ADRA1A	5
ADRA1B	5
ADRA1D	50
ADRA2A	47
ADRA2B	11
ADRA2C	96
ADRB1	57
ADRB2	4
ADRB3	34
ADRM1	5
ADSL	11
ADSS1	6
ADSS2	5
ADTRP	20
AEBP1	7
AEBP2	8
AEN	8
AF011889	23
AFAP1	8
AFAP1L1	4
AFAP1L2	5
AFDN	11
AFF1	3
AFF2	15
AFF3	6
AFF4	4
AFG1L	2
AFG3L2	9
AFM	24
AFMID	11
AFP	3
AFTPH	11
AGA	2
AGAP1	7
AGAP2	1
AGBL1	35
AGBL2	13
AGBL3	51
AGBL4	15
AGBL5	3
AGER	3
AGFG1	1
AGFG2	2
AGGF1	5
AGK	4
AGL	5
AGMAT	3
AGMO	25
AGO1	2
AGO2	5
AGO3	2
AGO4	8
AGPAT1	2
AGPAT2	9
AGPAT3	12
AGPAT4	7
AGPAT5	1
AGPS	29
AGR2	2
AGR3	97
AGRN	16
AGRP	1
AGT	9
AGTPBP1	6
AGTR1	4
AGTR2	27
AGTRAP	4
AGXT	9
AGXT2	7
AHCTF1	4
AHCY	11
AHCYL1	0
AHCYL2	5
AHDC1	43
AHI1	28
AHR	7
AHRR	25
AHSA1	1
AHSG	2
AHSP	6
AICDA	7
AIDA	15
AIF1	5
AIF1L	4
AIFM1	3
AIFM2	4
AIFM3	5
AIG1	6
AIM2	197
AIMP1	2
AIMP2	4
AIP	3
AIPL1	7
AIRE	7
AJAP1	23
AJM1	107
AJUBA	8
AK1	1
AK2	1
AK3	4
AK4	7
AK5	3
AK6	6
AK7	5
AK8	7
AK9	9
AKAIN1	3
AKAP1	12
AKAP10	9
AKAP11	12
AKAP14	13
AKAP17A	122
AKAP3	16
AKAP4	46
AKAP5	18
AKAP7	32
AKAP8	4
AKAP8L	4
AKAP9	37
AKIP1	3
AKIRIN1	5
AKIRIN2	3
AKNA	10
AKNAD1	75
AKR1A1	6
AKR1B1	8
AKR1D1	7
AKR1E2	112
AKT1	24
AKT1S1	9
AKT2	5
AKT3	5
AKTIP	3
AL022312	1
AL031178	3
AL034430	4
AL035699	13
AL162231	14
AL353579	14
AL359092	5
ALAD	0
ALAS1	2
ALAS2	5
ALB	4
ALCAM	7
ALDH16A1	10
ALDH18A1	3
ALDH1A1	20
ALDH1A2	4
ALDH1A3	3
ALDH1B1	118
ALDH1L1	20
ALDH1L2	4
ALDH2	3
ALDH3A1	32
ALDH3A2	8
ALDH3B1	25
ALDH3B2	70
ALDH4A1	3
ALDH5A1	6
ALDH6A1	5
ALDH7A1	11
ALDH8A1	16
ALDH9A1	6
ALDOA	6
ALDOB	5
ALDOC	2
ALG1	5
ALG10	8
ALG10B	9
ALG11	5
ALG12	13
ALG13	8
ALG14	2
ALG1L	7
ALG1L2	7
ALG2	3
ALG3	0
ALG5	3
ALG6	5
ALG8	21
ALG9	3
ALK	2
ALKAL1	39
ALKAL2	28
ALKBH1	7
ALKBH2	5
ALKBH3	2
ALKBH4	6
ALKBH5	39
ALKBH6	2
ALKBH7	6
ALKBH8	12
ALLC	54
ALOX12	12
ALOX12B	36
ALOX15	63
ALOX15B	59
ALOX5	1
ALOX5AP	12
ALOXE3	31
ALPK1	25
ALPK2	24
ALPK3	8
ALPL	3
ALS2	30
ALS2CL	1
ALX1	1
ALX3	3
ALX4	7
ALYREF	7
AMACR	4
AMBN	8
AMBP	1
AMBRA1	5
AMD1	16
AMDHD1	10
AMDHD2	12
AMELX	22
AMELY	23
AMER1	25
AMER2	85
AMER3	12
AMFR	5
AMH	49
AMHR2	4
AMIGO1	1
AMIGO2	12
AMIGO3	9
AMMECR1	12
AMMECR1L	11
AMN	35
AMN1	8
AMOT	7
AMOTL1	6
AMOTL2	3
AMPD1	3
AMPD2	1
AMPD3	4
AMPH	13
AMT	2
AMTN	2
AMZ1	36
AMZ2	7
ANAPC1	11
ANAPC10	7
ANAPC11	323
ANAPC13	6
ANAPC15	88
ANAPC16	4
ANAPC2	1
ANAPC4	7
ANAPC5	6
ANAPC7	1
ANG	52
ANGEL1	1
ANGEL2	2
ANGPT1	28
ANGPT2	2
ANGPT4	9
ANGPTL1	5
ANGPTL2	22
ANGPTL3	11
ANGPTL4	7
ANGPTL5	31
ANGPTL6	9
ANGPTL7	1
ANGPTL8	6
ANHX	60
ANK1	5
ANKAR	6
ANKDD1A	101
ANKDD1B	99
ANKEF1	3
ANKFN1	4
ANKFY1	5
ANKH	2
ANKHD1	4
ANKIB1	3
ANKK1	191
ANKLE1	14
ANKLE2	6
ANKMY1	45
ANKMY2	2
ANKRA2	7
ANKRD1	0
ANKRD10	7
ANKRD13A	3
ANKRD13B	1
ANKRD13C	3
ANKRD13D	7
ANKRD16	4
ANKRD17	15
ANKRD2	1
ANKRD22	3
ANKRD23	55
ANKRD24	44
ANKRD27	4
ANKRD28	25
ANKRD29	4
ANKRD31	10
ANKRD33	21
ANKRD33B	19
ANKRD34A	10
ANKRD34B	17
ANKRD34C	43
ANKRD35	19
ANKRD37	9
ANKRD39	6
ANKRD40	3
ANKRD40CL	95
ANKRD42	7
ANKRD44	3
ANKRD45	5
ANKRD46	2
ANKRD49	9
ANKRD50	15
ANKRD52	1
ANKRD53	4
ANKRD54	3
ANKRD55	8
ANKRD6	4
ANKRD60	7
ANKRD61	30
ANKRD63	29
ANKRD65	45
ANKRD66	20
ANKRD7	104
ANKRD9	56
ANKS1A	7
ANKS1B	80
ANKS3	3
ANKS4B	10
ANKS6	4
ANKUB1	37
ANKZF1	29
ANLN	5
ANO1	10
ANO10	11
ANO2	4
ANO3	2
ANO4	4
ANO5	5
ANO6	11
ANO7	181
ANO8	12
ANO9	15
ANOS1	64
ANP32A	3
ANP32B	2
ANP32D	230
ANP32E	5
ANPEP	8
ANTKMT	6
ANTXR1	6
ANTXR2	37
ANXA1	3
ANXA10	11
ANXA11	2
ANXA13	3
ANXA2	14
ANXA3	9
ANXA4	4
ANXA5	8
ANXA6	6
ANXA7	2
ANXA8	43
ANXA8L1	45
ANXA9	38
AOAH	8
AOC1	15
AOC2	69
AOC3	129
AOPEP	2
AOX1	51
AP000471	9
AP000721	209
AP000812	3
AP001054	4
AP002884	15
AP003419	6
AP1AR	6
AP1B1	5
AP1G1	1
AP1G2	3
AP1M1	2
AP1M2	12
AP1S1	2
AP1S2	8
AP1S3	3
AP2A1	3
AP2A2	6
AP2B1	15
AP2M1	2
AP2S1	7
AP3B1	7
AP3B2	5
AP3D1	7
AP3M1	3
AP3M2	1
AP3S1	5
AP3S2	6
AP4B1	4
AP4E1	4
AP4M1	0
AP4S1	27
AP5B1	19
AP5M1	4
AP5S1	2
AP5Z1	4
APAF1	8
APBA1	12
APBA2	7
APBA3	15
APBB1	2
APBB1IP	13
APBB2	6
APBB3	0
APCDD1	2
APCDD1L	48
APCS	78
APEH	2
APELA	6
APEX1	9
APEX2	20
APH1A	2
APH1B	7
API5	6
APIP	4
APLF	12
APLN	3
APLNR	29
APLP1	3
APLP2	1
APMAP	14
APOA1	10
APOA2	19
APOA4	12
APOA5	16
APOBEC1	16
APOBEC2	3
APOBEC3H	42
APOBEC4	26
APOC1	144
APOC2	6
APOC3	7
APOC4	17
APOD	6
APOE	28
APOF	22
APOH	4
APOL5	285
APOL6	41
APOLD1	17
APOM	4
APOO	7
APOOL	18
APP	5
APPBP2	3
APPL1	5
APPL2	5
APRT	6
APTX	4
AQP1	3
AQP10	95
AQP11	6
AQP12A	89
AQP12B	88
AQP2	0
AQP3	2
AQP4	2
AQP5	2
AQP6	7
AQP7	3
AQP8	8
AQP9	5
AQR	6
AR	29
ARAF	11
ARAP1	3
ARAP2	5
ARAP3	3
ARC	26
ARCN1	7
AREG	1
AREL1	2
ARF1	14
ARF3	1
ARF4	11
ARF5	4
ARF6	5
ARFGAP1	3
ARFGAP2	2
ARFGAP3	11
ARFGEF1	6
ARFGEF2	4
ARFGEF3	5
ARFIP1	7
ARFIP2	0
ARFRP1	6
ARG1	4
ARG2	1
ARGFX	210
ARGLU1	2
ARHGAP1	2
ARHGAP10	3
ARHGAP11A	17
ARHGAP12	3
ARHGAP15	3
ARHGAP17	7
ARHGAP18	4
ARHGAP19	5
ARHGAP21	18
ARHGAP22	11
ARHGAP23	13
ARHGAP24	10
ARHGAP25	4
ARHGAP26	3
ARHGAP27	11
ARHGAP28	4
ARHGAP29	12
ARHGAP30	2
ARHGAP31	5
ARHGAP32	11
ARHGAP33	5
ARHGAP35	11
ARHGAP36	16
ARHGAP39	17
ARHGAP4	17
ARHGAP40	218
ARHGAP42	3
ARHGAP44	8
ARHGAP45	24
ARHGAP5	15
ARHGAP6	13
ARHGAP8	52
ARHGAP9	1
ARHGDIA	10
ARHGDIB	4
ARHGEF1	5
ARHGEF10	33
ARHGEF10L	5
ARHGEF11	4
ARHGEF12	5
ARHGEF15	6
ARHGEF16	9
ARHGEF17	38
ARHGEF18	26
ARHGEF19	1
ARHGEF2	11
ARHGEF25	2
ARHGEF26	3
ARHGEF28	8
ARHGEF3	8
ARHGEF33	4
ARHGEF35	373
ARHGEF37	3
ARHGEF38	6
ARHGEF39	1
ARHGEF4	60
ARHGEF40	2
ARHGEF5	40
ARHGEF6	4
ARHGEF7	4
ARHGEF9	7
ARID1A	1
ARID1B	2
ARID2	18
ARID3A	12
ARID3B	5
ARID3C	2
ARID4A	8
ARID4B	5
ARID5A	7
ARID5B	8
ARIH1	4
ARIH2	5
ARL1	4
ARL10	2
ARL11	15
ARL13A	37
ARL13B	16
ARL14	3
ARL14EP	10
ARL14EPL	2
ARL15	7
ARL16	3
ARL2	4
ARL2BP	7
ARL3	1
ARL4A	15
ARL4C	11
ARL4D	13
ARL5A	5
ARL5B	4
ARL5C	95
ARL6	5
ARL6IP1	3
ARL6IP4	93
ARL6IP5	5
ARL6IP6	11
ARL8A	13
ARL8B	8
ARL9	8
ARMC1	9
ARMC10	3
ARMC12	1
ARMC2	5
ARMC3	10
ARMC5	4
ARMC6	11
ARMC7	4
ARMC8	3
ARMC9	7
ARMCX5	34
ARMH1	4
ARMH2	6
ARMH3	5
ARMH4	19
ARMS2	281
ARMT1	6
ARNT	5
ARNT2	10
ARNTL	1
ARNTL2	43
ARPC1A	7
ARPC1B	8
ARPC2	6
ARPC3	10
ARPC4	0
ARPC5	5
ARPC5L	1
ARPIN	3
ARPP19	12
ARPP21	23
ARR3	73
ARRB1	3
ARRB2	1
ARRDC1	2
ARRDC2	11
ARRDC3	2
ARRDC4	3
ARRDC5	23
ARSA	7
ARSB	4
ARSD	125
ARSF	222
ARSG	2
ARSH	166
ARSI	9
ARSJ	12
ARSK	2
ARSL	97
ART1	10
ART3	7
ART4	4
ART5	7
ARTN	61
ARV1	5
ARVCF	2
ARX	130
AS3MT	58
ASAH1	3
ASAH2	8
ASAH2B	4
ASAP1	6
ASAP2	7
ASAP3	5
ASB1	4
ASB10	8
ASB11	5
ASB12	17
ASB13	22
ASB14	135
ASB15	5
ASB16	17
ASB17	8
ASB18	28
ASB2	7
ASB3	7
ASB4	4
ASB5	3
ASB6	5
ASB7	3
ASB8	1
ASB9	4
ASCC1	4
ASCC2	1
ASCC3	9
ASCL1	32
ASCL2	34
ASCL3	5
ASCL4	36
ASCL5	43
ASDURF	2
ASF1A	4
ASF1B	3
ASGR1	10
ASGR2	4
ASH1L	23
ASH2L	5
ASIC1	1
ASIC2	9
ASIC3	3
ASIC4	2
ASIC5	54
ASIP	13
ASL	13
ASMT	171
ASMTL	105
ASNS	4
ASNSD1	13
ASPA	6
ASPDH	18
ASPG	14
ASPH	7
ASPHD1	3
ASPHD2	12
ASPN	10
ASPRV1	6
ASPSCR1	5
ASRGL1	16
ASS1	2
ASTE1	3
ASTL	15
ASTN1	4
ASTN2	4
ASXL1	7
ASXL2	16
ASXL3	70
ASZ1	7
ATAD1	5
ATAD2	2
ATAD2B	3
ATAD3A	25
ATAD3B	59
ATAD3C	24
ATAD5	9
ATAT1	0
ATCAY	30
ATE1	5
ATF1	4
ATF2	2
ATF3	4
ATF4	15
ATF5	66
ATF6	48
ATF6B	1
ATF7	6
ATF7IP	8
ATF7IP2	14
ATG10	2
ATG101	2
ATG12	3
ATG13	13
ATG14	4
ATG16L1	3
ATG16L2	1
ATG2A	4
ATG2B	9
ATG3	3
ATG4A	6
ATG4B	2
ATG4C	5
ATG4D	5
ATG5	3
ATG7	4
ATG9A	2
ATG9B	32
ATIC	9
ATL1	13
ATL2	2
ATL3	6
ATM	13
ATMIN	24
ATN1	39
ATOH1	15
ATOH7	27
ATOH8	36
ATOX1	2
ATP10A	10
ATP10B	4
ATP10D	4
ATP11A	5
ATP11B	3
ATP11C	5
ATP12A	12
ATP13A1	15
ATP13A2	3
ATP13A3	7
ATP13A4	7
ATP13A5	41
ATP1A1	2
ATP1A2	6
ATP1A3	16
ATP1A4	13
ATP1B1	0
ATP1B2	0
ATP1B3	7
ATP1B4	11
ATP23	8
ATP2A1	5
ATP2A2	3
ATP2A3	4
ATP2B1	2
ATP2B2	3
ATP2B3	24
ATP2B4	12
ATP2C1	3
ATP2C2	2
ATP4A	1
ATP4B	1
ATP5F1A	7
ATP5F1B	8
ATP5F1C	5
ATP5F1D	7
ATP5F1E	2
ATP5IF1	4
ATP5MC1	2
ATP5MC2	5
ATP5MC3	1
ATP5ME	9
ATP5MF	5
ATP5MG	1
ATP5MJ	199
ATP5MK	11
ATP5PB	4
ATP5PD	4
ATP5PF	1
ATP5PO	3
ATP6AP1	6
ATP6AP1L	18
ATP6AP2	7
ATP6V0A1	3
ATP6V0A2	7
ATP6V0A4	6
ATP6V0B	2
ATP6V0C	5
ATP6V0D1	1
ATP6V0D2	13
ATP6V0E1	4
ATP6V0E2	234
ATP6V1A	3
ATP6V1B1	0
ATP6V1B2	11
ATP6V1C1	1
ATP6V1C2	6
ATP6V1D	2
ATP6V1E1	5
ATP6V1E2	8
ATP6V1F	3
ATP6V1FNB	8
ATP6V1G1	4
ATP6V1G2	3
ATP6V1G3	11
ATP6V1H	8
ATP7A	10
ATP7B	4
ATP8A1	4
ATP8A2	10
ATP8B1	4
ATP8B2	6
ATP8B3	31
ATP8B4	11
ATP9A	6
ATP9B	8
ATPAF1	3
ATPAF2	3
ATPSCKMT	8
ATR	9
ATRAID	3
ATRIP	5
ATRN	4
ATRNL1	14
ATRX	27
ATXN1	24
ATXN10	3
ATXN1L	17
ATXN2	3
ATXN2L	5
ATXN3	5
ATXN3L	337
ATXN7	1
ATXN7L1	4
ATXN7L2	6
ATXN7L3	0
ATXN7L3B	7
AUH	13
AUNIP	8
AUP1	3
AURKA	6
AURKAIP1	13
AURKB	4
AURKC	18
AUTS2	20
AVEN	4
AVIL	3
AVL9	3
AVP	53
AVPI1	2
AVPR1A	17
AVPR1B	9
AVPR2	22
AWAT1	51
AWAT2	47
AXDND1	10
AXIN1	5
AXIN2	8
AXL	4
AZGP1	42
AZI2	3
AZIN1	13
AZIN2	12
AZU1	187
B2M	11
B3GALNT1	10
B3GALNT2	6
B3GALT1	4
B3GALT2	2
B3GALT4	41
B3GALT5	17
B3GALT6	88
B3GALT9	43
B3GAT1	11
B3GAT2	32
B3GAT3	5
B3GLCT	7
B3GNT2	16
B3GNT3	84
B3GNT4	39
B3GNT5	5
B3GNT6	101
B3GNT7	12
B3GNT8	10
B3GNT9	7
B3GNTL1	9
B4GALNT1	2
B4GALNT2	11
B4GALNT3	12
B4GALNT4	24
B4GALT1	5
B4GALT2	1
B4GALT3	2
B4GALT4	6
B4GALT5	3
B4GALT6	3
B4GALT7	3
B4GAT1	5
B9D1	21
B9D2	5
BAALC	7
BAAT	122
BABAM1	6
BABAM2	8
BACE1	1
BACE2	8
BACH1	7
BACH2	13
BAD	2
BAG1	4
BAG2	4
BAG3	2
BAG4	3
BAG5	9
BAG6	11
BAHCC1	13
BAHD1	6
BAIAP2	7
BAIAP2L1	7
BAIAP2L2	6
BAIAP3	4
BAK1	2
BAMBI	6
BANF1	9
BANF2	12
BANK1	9
BANP	24
BAP1	1
BARD1	4
BARHL1	7
BARHL2	8
BARX1	4
BARX2	1
BASP1	44
BATF	1
BATF2	12
BATF3	5
BAX	8
BAZ1A	3
BAZ1B	6
BAZ2A	6
BAZ2B	6
BBC3	39
BBIP1	337
BBOF1	8
BBOX1	4
BBS1	3
BBS10	10
BBS12	17
BBS2	13
BBS4	3
BBS5	3
BBS7	7
BBS9	10
BBX	5
BCAM	11
BCAN	2
BCAP29	8
BCAP31	5
BCAR1	12
BCAR3	4
BCAS1	5
BCAS2	3
BCAS3	6
BCAS4	59
BCAT1	10
BCAT2	7
BCCIP	3
BCDIN3D	12
BCHE	9
BCKDHA	5
BCKDHB	7
BCKDK	2
BCL10	9
BCL11A	12
BCL11B	71
BCL2	27
BCL2A1	12
BCL2L1	4
BCL2L10	94
BCL2L11	2
BCL2L12	5
BCL2L13	14
BCL2L14	7
BCL2L15	10
BCL2L2	2
BCL3	17
BCL6-AS1	16
BCL6	3
BCL6B	16
BCL7A	4
BCL7B	3
BCL7C	3
BCL9	7
BCL9L	14
BCLAF1	12
BCLAF3	7
BCO1	10
BCO2	27
BCOR	34
BCR	21
BCS1L	2
BDH1	52
BDH2	14
BDKRB1	20
BDKRB2	7
BDNF	4
BDP1	6
BEAN1	2
BECN1	2
BECN2	75
BEGAIN	34
BEND3	11
BEND4	3
BEND5	1
BEND6	2
BEND7	5
BEST1	23
BEST2	8
BEST3	4
BEST4	27
BET1	3
BET1L	218
BFAR	5
BFSP1	11
BFSP2	7
BGLAP	3
BGN	6
BHLHA15	34
BHLHA9	36
BHLHB9	36
BHLHE22	64
BHLHE23	65
BHLHE40	6
BHLHE41	85
BHMT	7
BHMT2	79
BICC1	5
BICD1	11
BICD2	7
BICDL1	4
BICDL2	2
BICRA	45
BICRAL	9
BID	7
BIK	6
BIN1	6
BIN2	12
BIN3	2
BIRC2	10
BIRC3	13
BIRC5	6
BIRC6	3
BIRC7	27
BIVM	3
BLACAT1	2
BLCAP	5
BLID	255
BLK	3
BLM	5
BLMH	5
BLNK	6
BLOC1S1	3
BLOC1S2	3
BLOC1S3	33
BLOC1S4	55
BLOC1S5	3
BLOC1S6	3
BLVRA	10
BLVRB	50
BLZF1	7
BMERB1	4
BMF	1
BMI1	7
BMP1	3
BMP10	3
BMP15	36
BMP2	4
BMP2K	30
BMP3	6
BMP4	9
BMP5	4
BMP6	11
BMP7	7
BMPER	11
BMPR1A	3
BMPR1B	5
BMPR2	8
BMS1	15
BMT2	7
BMX	26
BNC1	9
BNC2	10
BNIP1	4
BNIP2	3
BNIP3	17
BNIP3L	2
BNIP5	2
BNIPL	4
BOC	3
BOD1	7
BOD1L2	339
BOK	7
BOLA1	7
BOLA2	27
BOLA2B	29
BOLA3	4
BOLL	4
BOP1	12
BORA	4
BORCS5	3
BORCS6	25
BORCS7	4
BORCS8	3
BPGM	9
BPHL	10
BPI	11
BPIFA1	11
BPIFA3	7
BPIFB1	3
BPIFB2	27
BPIFB3	22
BPIFB4	36
BPIFB6	26
BPIFC	6
BPNT1	6
BPNT2	6
BPTF	16
BRAF	6
BRAP	12
BRAT1	9
BRCA1	39
BRCC3	21
BRD1	5
BRD2	4
BRD3	5
BRD3OS	211
BRD4	19
BRD7	3
BRD8	4
BRD9	15
BRDT	3
BRF1	9
BRF2	3
BRI3	17
BRI3BP	10
BRICD5	3
BRINP1	3
BRINP2	3
BRINP3	7
BRIP1	6
BRIX1	5
BRK1	7
BRME1	17
BRMS1	2
BRMS1L	3
BROX	3
BRPF1	5
BRPF3	1
BRS3	5
BRSK1	8
BRSK2	6
BRWD1	6
BRWD3	16
BSCL2	10
BSDC1	7
BSG	21
BSND	5
BSPH1	52
BSPRY	3
BST1	36
BST2	17
BSX	1
BTAF1	7
BTBD1	3
BTBD10	5
BTBD11	3
BTBD16	9
BTBD17	46
BTBD18	6
BTBD19	2
BTBD3	4
BTBD7	7
BTBD8	6
BTBD9	8
BTC	9
BTD	14
BTF3	6
BTF3L4	4
BTG1	12
BTG2	6
BTG3	3
BTG4	5
BTK	9
BTLA	44
BTN1A1	9
BTN2A1	48
BTN2A2	31
BTNL2	51
BTNL9	18
BTRC	1
BUB1	11
BUB1B	5
BUB3	2
BUD13	14
BUD23	2
BUD31	5
BVES	2
BX664615	350
BYSL	2
BZW1	2
BZW2	6
C10orf105	3
C10orf120	18
C10orf143	3
C10orf53	312
C10orf62	9
C10orf67	14
C10orf82	37
C10orf90	24
C10orf95	39
C10orf99	0
C11orf1	4
C11orf16	32
C11orf21	248
C11orf24	17
C11orf42	4
C11orf45	322
C11orf49	5
C11orf52	3
C11orf53	6
C11orf54	4
C11orf58	8
C11orf65	29
C11orf68	5
C11orf71	20
C11orf80	4
C11orf86	13
C11orf87	7
C11orf91	30
C11orf94	2
C11orf95	20
C11orf96	262
C11orf97	4
C11orf98	9
C12orf29	2
C12orf4	7
C12orf40	16
C12orf42	134
C12orf43	9
C12orf45	39
C12orf50	5
C12orf54	48
C12orf56	47
C12orf57	3
C12orf60	60
C12orf65	10
C12orf66	7
C12orf71	52
C12orf73	11
C12orf75	6
C12orf76	287
C13orf42	2
C13orf46	10
C14orf119	11
C14orf132	9
C14orf180	87
C14orf28	12
C14orf39	7
C14orf93	2
C15orf39	26
C15orf40	5
C15orf48	2
C15orf61	23
C15orf62	5
C15orf65	11
C16orf46	15
C16orf54	10
C16orf70	1
C16orf71	8
C16orf72	6
C16orf74	9
C16orf78	9
C16orf82	33
C16orf86	4
