gene_set	category	term_id	term_description	observed_gene_count	background_gene_count	strength	signal	FDR	minus_log10_FDR	selected_for_main_figure	theme	selection_rule
marine_slow	GO Process	GO:0048519	Negative regulation of biological process	441	5313	0.08	0.3	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0071310	Cellular response to organic substance	193	2019	0.14	0.31	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0071345	Cellular response to cytokine stimulus	84	711	0.23	0.33	0.0217	1.6635402661514704	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002819	Regulation of adaptive immune response	32	195	0.38	0.35	0.0227	1.6439741428068773	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002821	Positive regulation of adaptive immune response	23	116	0.46	0.36	0.0231	1.6363880201078558	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0034097	Response to cytokine	89	804	0.21	0.32	0.0231	1.6363880201078558	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0000003	Reproduction	148	1514	0.15	0.31	0.024	1.619788758288394	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002824	Positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	22	110	0.46	0.35	0.0255	1.5934598195660448	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0071704	Organic substance metabolic process	594	7522	0.06	0.28	0.0255	1.5934598195660448	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0001774	Microglial cell activation	11	31	0.71	0.35	0.034	1.4685210829577449	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0120178	Steroid hormone biosynthetic process	11	31	0.71	0.35	0.034	1.4685210829577449	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0010604	Positive regulation of macromolecule metabolic process	302	3533	0.09	0.27	0.0396	1.4023048140744876	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0022414	Reproductive process	145	1504	0.15	0.27	0.0414	1.3829996588791011	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002708	Positive regulation of lymphocyte mediated immunity	22	116	0.44	0.31	0.0415	1.3819519032879073	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0002822	Regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	29	179	0.37	0.3	0.0415	1.3819519032879073	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0051247	Positive regulation of protein metabolic process	145	1512	0.14	0.26	0.0469	1.3288271572849168	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Process	GO:0031325	Positive regulation of cellular metabolic process	269	3114	0.1	0.25	0.049	1.3098039199714864	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Function	GO:0005488	Binding	983	12838	0.04	0.46	0.00017	3.769551078621726	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Function	GO:0004896	Cytokine receptor activity	25	96	0.58	0.68	0.00044	3.356547323513813	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Function	GO:0019955	Cytokine binding	31	141	0.5	0.65	0.00044	3.356547323513813	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Function	GO:0140375	Immune receptor activity	27	142	0.44	0.4	0.0141	1.85078088734462	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0031981	Nuclear lumen	403	4526	0.11	0.52	5.48e-05	4.261219441515631	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0005654	Nucleoplasm	372	4169	0.11	0.51	8.49e-05	4.071092309756048	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0009897	External side of plasma membrane	59	388	0.34	0.65	8.49e-05	4.071092309756048	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0043227	Membrane-bounded organelle	1003	13188	0.04	0.47	8.49e-05	4.071092309756048	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0070013	Intracellular organelle lumen	480	5660	0.09	0.5	9.75e-05	4.010995384301463	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0009986	Cell surface	105	894	0.23	0.57	0.00012	3.9208187539523753	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0005634	Nucleus	619	7672	0.07	0.46	0.00025	3.6020599913279625	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0110165	Cellular anatomical entity	1305	18293	0.01	0.41	0.00047	3.3279021420642825	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0043226	Organelle	1045	14017	0.03	0.42	0.00052	3.283996656365201	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0032991	Protein-containing complex	459	5506	0.08	0.44	0.00061	3.214670164989233	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0043231	Intracellular membrane-bounded organelle	916	12149	0.04	0.38	0.0023	2.638272163982407	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0036128	CatSper complex	8	13	0.95	0.58	0.0041	2.3872161432802645	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0098552	Side of membrane	71	611	0.23	0.4	0.0064	2.193820026016113	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0005694	Chromosome	173	1850	0.13	0.36	0.008	2.096910013008056	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0043235	Receptor complex	52	418	0.26	0.37	0.0127	1.8961962790440432	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0043229	Intracellular organelle	977	13231	0.03	0.29	0.0207	1.6840296545430822	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0005891	Voltage-gated calcium channel complex	12	44	0.6	0.39	0.0212	1.6736641390712486	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0000792	Heterochromatin	16	77	0.48	0.35	0.0289	1.5391021572434522	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	GO Component	GO:0005622	Intracellular anatomical structure	1083	14891	0.02	0.26	0.0343	1.4647058799572297	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	KEGG	hsa04060	Cytokine-cytokine receptor interaction	41	282	0.32	0.4	0.0091	2.0409586076789066	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	KEGG	hsa04927	Cortisol synthesis and secretion	15	65	0.52	0.36	0.0274	1.562249437179612	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	KEGG	hsa04934	Cushing syndrome	25	153	0.37	0.34	0.0274	1.562249437179612	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	KEGG	hsa05200	Pathways in cancer	60	515	0.23	0.31	0.0274	1.562249437179612	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	KEGG	hsa04151	PI3K-Akt signaling pathway	43	349	0.25	0.31	0.0324	1.489454989793388	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Reactome	HSA-1643685	Disease	168	1702	0.16	0.35	0.0122	1.913640169325252	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Reactome	HSA-168256	Immune System	186	1979	0.13	0.29	0.0279	1.5543957967264024	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	WikiPathways	WP4494	Selective expression of chemokine receptors during T-cell polarization	11	29	0.74	0.39	0.0247	1.6073030467403342	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	WikiPathways	WP4538	Regulatory circuits of the STAT3 signaling pathway	18	77	0.53	0.37	0.0247	1.6073030467403342	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	WikiPathways	WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	40	301	0.28	0.28	0.0498	1.3027706572402824	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	WikiPathways	WP5277	Steroid hormone precursor biosynthesis	6	9	0.98	0.33	0.0498	1.3027706572402824	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004503	Hematological measurement	427	4592	0.13	0.64	3.6e-07	6.443697499232713	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004747	Protein measurement	506	5856	0.1	0.52	4.11e-05	4.386158178123931	True	systemic/body-measure phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004302	Anthropometric measurement	377	4304	0.1	0.41	0.0021	2.677780705266081	True	systemic/body-measure phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004527	Mean corpuscular hemoglobin	88	713	0.25	0.47	0.0021	2.677780705266081	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004324	Body weights and measures	361	4122	0.1	0.4	0.0025	2.6020599913279625	True	systemic/body-measure phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004526	Mean corpuscular volume	100	875	0.22	0.41	0.0054	2.2676062401770314	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	HP:0000080	Abnormality of reproductive system physiology	80	659	0.25	0.4	0.0065	2.1870866433571443	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	HP:0000119	Abnormality of the genitourinary system	208	2189	0.14	0.37	0.0065	2.1870866433571443	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004306	Erythrocyte indices	161	1616	0.16	0.37	0.0072	2.1426675035687315	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004309	Platelet count	83	705	0.23	0.38	0.0086	2.065501548756432	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0005047	Erythrocyte measurement	165	1675	0.15	0.36	0.0086	2.065501548756432	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	EFO:0004586	Complete blood cell count	256	2849	0.11	0.33	0.0125	1.9030899869919435	True	hematological/systemic phenotype	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
marine_slow	Monarch	HP:0000118	Phenotypic abnormality	424	5129	0.08	0.29	0.0225	1.6478174818886375	False	excluded_from_main_figure	Select STRING/Monarch phenotype and measurement terms, allowing EFO and HP ontology terms; prioritize hematological, erythrocyte, hemoglobin, platelet, blood-cell, cardiovascular, anthropometric/body-measure, or protein-measurement wording; exclude broad/generic terms.
