perm_id	seed	matched_terminal_positive_count	matched_terminal_negative_count	post_ASR_screened_branch_positive_count	post_ASR_screened_branch_negative_count	count_scope_note	n_positive	n_negative	n_tested_genes	n_sig_FDR_0_01	n_slow	n_fast	slow_proportion	slow_proportion_defined	positive_t_all	negative_t_all	notes	permutation_source	public_count_scope
11	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17385	36	0	36	0.0	True	5753	11632	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
12	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17292	27	1	26	0.037037037037037	True	6378	10914	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
13	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17253	0	0	0		False	6275	10978	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
14	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17352	31	0	31	0.0	True	5355	11997	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
15	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17302	28	0	28	0.0	True	6755	10547	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
16	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17308	3	0	3	0.0	True	7635	9673	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
17	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17350	20	0	20	0.0	True	6405	10945	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
18	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17300	3	0	3	0.0	True	7868	9432	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
19	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17347	6	0	6	0.0	True	6487	10860	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
20	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17314	4	0	4	0.0	True	7033	10281	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
21	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17344	6	0	6	0.0	True	7459	9885	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
22	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17320	2	1	1	0.5	True	6412	10908	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
23	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17309	28	1	27	0.0357142857142857	True	6501	10808	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
24	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17355	56	0	56	0.0	True	5086	12269	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
25	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17291	71	1	70	0.0140845070422535	True	6545	10746	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
26	20260520	17	251	19	548	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	19	548	17269	12	0	12	0.0	True	7995	9274	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
27	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17295	21	0	21	0.0	True	6376	10919	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
28	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17349	8	1	7	0.125	True	8307	9042	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
29	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17315	59	2	57	0.0338983050847458	True	5113	12202	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
30	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17243	2	0	2	0.0	True	8912	8331	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
31	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17312	12	0	12	0.0	True	7928	9384	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
32	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17269	28	0	28	0.0	True	5440	11829	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
33	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17320	7	0	7	0.0	True	8220	9100	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
34	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17256	5	0	5	0.0	True	6362	10894	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
35	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17344	4	0	4	0.0	True	6711	10633	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
36	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17345	4	0	4	0.0	True	6880	10465	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
37	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17339	18	0	18	0.0	True	6153	11186	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
38	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17337	12	0	12	0.0	True	7244	10093	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
39	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17346	20	1	19	0.05	True	5725	11621	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
40	20260520	17	251	19	548	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	19	548	17342	3	0	3	0.0	True	6892	10450	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
41	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17356	9	0	9	0.0	True	6571	10785	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
42	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17340	32	0	32	0.0	True	5901	11439	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
43	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17310	2	0	2	0.0	True	8203	9107	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
44	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17338	4	1	3	0.25	True	5547	11791	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
45	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17378	9	0	9	0.0	True	6812	10566	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
46	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17290	14	0	14	0.0	True	6489	10801	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
47	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17284	11	0	11	0.0	True	7200	10084	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
48	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17359	17	0	17	0.0	True	6315	11044	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
49	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17317	2	0	2	0.0	True	7902	9415	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
50	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17288	19	0	19	0.0	True	6210	11078	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
51	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17350	6	0	6	0.0	True	6710	10640	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
52	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17267	12	0	12	0.0	True	7553	9714	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
53	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17296	20	0	20	0.0	True	6472	10824	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
54	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17340	4	0	4	0.0	True	6713	10627	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
55	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17350	12	0	12	0.0	True	7083	10267	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
56	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17301	4	0	4	0.0	True	6442	10859	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
57	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17344	9	1	8	0.111111111111111	True	8208	9136	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
58	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17282	26	1	25	0.0384615384615385	True	5351	11931	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
59	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17307	19	0	19	0.0	True	6567	10740	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
60	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17308	4	0	4	0.0	True	7881	9427	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
61	20260520	17	251	18	549	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	18	549	17381	18	1	17	0.0555555555555556	True	7147	10234	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
62	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17306	3	0	3	0.0	True	7915	9391	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
63	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17349	5	0	5	0.0	True	5301	12048	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
64	20260520	17	251	17	550	matched_terminal_* are fixed sampled terminal labels; post_ASR_screened_branch_* are per-permutation branch-state counts after deterministic ASR and screening; legacy n_positive/n_negative duplicate the post-ASR screened branch counts for backward compatibility.	17	550	17276	1	1	0	1.0	True	9215	8061	Matched-positive eligible-terminal-label permutation followed by deterministic ASR; old BH/FDR while-loop rule.	matched_positive_ttest_FDR_control	terminal_label_matched_positive_count_permutation
