gene	in_marine_slow	in_aquatic_slow	partition	marine_direction	aquatic_direction	marine_FDR	aquatic_FDR	marine_statistic_if_available	aquatic_statistic_if_available
AGPAT4	TRUE	TRUE	shared_slow	slow	slow	0.00208829	0.00230457	3.955704	3.968320
AGPAT5	TRUE	TRUE	shared_slow	slow	slow	0.00637497	0.00743127	3.561558	3.556970
AHCTF1	TRUE	TRUE	shared_slow	slow	slow	8.13985e-09	2.45006e-07	7.134357	6.392305
AHRR	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00730413	3.373152	3.561300
AIF1L	TRUE	TRUE	shared_slow	slow	slow	0.00315674	0.00415841	3.825326	3.778239
AJAP1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00327547		3.810188	2.823042
AK4	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00911352		3.434915	3.259927
AK9	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.0075517	3.009810	3.558045
AKAP8	TRUE	TRUE	shared_slow	slow	slow	0.000399709	0.000777717	4.490060	4.339087
AKAP9	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00678779	3.215211	3.580095
AKR1B1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00831243		3.449630	2.616004
AKR1D1	TRUE	TRUE	shared_slow	slow	slow	2.84206e-05	0.000191132	5.307064	4.807134
AL353579	TRUE	TRUE	shared_slow	slow	slow	0.000244179	4.84455e-05	4.655665	5.169242
ALAS1	TRUE	TRUE	shared_slow	slow	slow	9.39361e-05	0.00178893	4.970930	4.075242
ALG14	TRUE	TRUE	shared_slow	slow	slow	0.00393404	0.00229154	3.722404	3.959394
ALOX12B	FALSE	FALSE	shared_fast	fast	fast	0.00978426	0.00652129	-3.734395	-3.843735
ALX3	TRUE	TRUE	shared_slow	slow	slow	0.000196331	0.00269218	4.682105	3.901388
ALYREF	TRUE	TRUE	shared_slow	slow	slow	2.56919e-05	0.000460502	5.223111	4.467156
AMER2	TRUE	TRUE	shared_slow	slow	slow	0.00588439	0.0015158	3.630960	4.153161
AMFR	TRUE	TRUE	shared_slow	slow	slow	0.00162196	0.00153893	4.047719	4.113039
AMH	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00176517		4.081884	1.540983
AMN	TRUE	TRUE	shared_slow	slow	slow	0.00355472	0.00284283	3.794573	3.919837
ANGEL2	TRUE	TRUE	shared_slow	slow	slow	0.001283	0.00221041	4.134150	3.994878
ANGPT4	TRUE	TRUE	shared_slow	slow	slow	1.68502e-05	4.16145e-05	5.298083	5.127413
ANKAR	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0028595		3.836437	2.247754
ANKLE1	TRUE	TRUE	shared_slow	slow	slow	1.62317e-09	4.85117e-07	7.491011	6.285154
ANKRA2	TRUE	TRUE	shared_slow	slow	slow	0.00320963	0.00229273	3.838334	3.998150
ANKRD35	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00459908		-3.716684	-3.452551
ANKRD50	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00986825		3.364553	3.254387
ANKRD7	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.0062993	3.236693	3.620981
ANKS3	TRUE	TRUE	shared_slow	slow	slow	0.00132699	0.00656646	4.111995	3.606058
ANO2	FALSE	FALSE	shared_fast	fast	fast	2.29629e-06	3.78424e-07	-6.119187	-6.580159
ANO4	FALSE	FALSE	aquatic_fast_only	not_significant	fast		0.00661948	-3.139968	-3.630305
ANO5	TRUE	TRUE	shared_slow	slow	slow	0.00289564	0.000965239	3.866764	4.285656
ANO6	TRUE	TRUE	shared_slow	slow	slow	0.00760819	0.00195464	3.499409	4.042738
ANP32B	TRUE	TRUE	shared_slow	slow	slow	0.00842472	0.00740481	3.436610	3.543349
ANPEP	FALSE	FALSE	marine_fast_only	fast	not_significant	0.007667		-3.515047	-3.453177
AP3B1	TRUE	TRUE	shared_slow	slow	slow	0.0020402	0.00453381	3.987490	3.753256
APH1B	TRUE	TRUE	shared_slow	slow	slow	2.08411e-05	0.00887617	5.364228	3.501478
APOA1	TRUE	TRUE	shared_slow	slow	slow	0.000747836	0.000296942	4.218032	4.567023
APOC3	TRUE	TRUE	shared_slow	slow	slow	0.00378326	0.00259339	3.695606	3.886620
APPL1	TRUE	TRUE	shared_slow	slow	slow	0.00117222	0.00656772	4.161738	3.606917
ARG1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00199077		4.000449	3.436094
ARHGAP28	TRUE	TRUE	shared_slow	slow	slow	0.0052726	0.00372524	3.652934	3.833690
ARHGAP42	TRUE	TRUE	shared_slow	slow	slow	2.78236e-07	1.61658e-06	6.462221	6.047014
ARL5B	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00261089		3.825732	3.156596
ARMH2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00717852		3.518474	3.252842
ARNT	TRUE	TRUE	shared_slow	slow	slow	0.00268065	0.00606172	3.893159	3.647442
ARPC3	TRUE	TRUE	shared_slow	slow	slow	5.67275e-05	4.03258e-05	5.008496	5.159356
ARRDC3	TRUE	TRUE	shared_slow	slow	slow	0.00419268	0.00767059	3.730564	3.555078
ARSA	TRUE	TRUE	shared_slow	slow	slow	0.00262095	0.00546614	3.896519	3.684135
ASB7	TRUE	TRUE	shared_slow	slow	slow	0.0054025	0.00689812	3.613629	3.572434
ASCL2	TRUE	TRUE	shared_slow	slow	slow	0.000568015	0.000516349	4.406706	4.493389
ASGR2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00377604		3.747390	3.303871
ASH2L	TRUE	TRUE	shared_slow	slow	slow	0.00653606	0.00460848	3.574467	3.763564
ASMTL	TRUE	TRUE	shared_slow	slow	slow	2.70881e-05	0.000157403	5.248249	4.811984
ATF7IP2	TRUE	TRUE	shared_slow	slow	slow	0.00385672	0.00145416	3.770179	4.166866
ATG2A	TRUE	TRUE	shared_slow	slow	slow	0.00347097	0.00878732	3.794983	3.503459
ATP10A	TRUE	TRUE	shared_slow	slow	slow	0.00190995	0.000635968	3.966380	4.379429
ATP13A1	TRUE	TRUE	shared_slow	slow	slow	0.00091409	0.00475758	4.269599	3.741424
ATP1A4	FALSE	FALSE	shared_fast	fast	fast	0.000853881	0.00119853	-4.367830	-4.297163
ATP2B4	TRUE	TRUE	shared_slow	slow	slow	3.6421e-08	2.55274e-07	6.842914	6.395974
ATRIP	TRUE	TRUE	shared_slow	slow	slow	0.00127567	0.00188602	4.142739	4.052641
ATRX	TRUE	TRUE	shared_slow	slow	slow	6.48153e-05	5.95975e-05	5.096387	5.152093
ATXN7L3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000985506		4.189244	3.193825
AURKA	TRUE	TRUE	shared_slow	slow	slow	2.61891e-07	2.03104e-05	6.480674	5.433567
AURKC	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00584648		3.538643	3.337072
AVPR2	TRUE	TRUE	shared_slow	slow	slow	0.00421886	0.00335516	3.688302	3.822326
AXDND1	TRUE	TRUE	shared_slow	slow	slow	2.6631e-05	1.9646e-05	5.283810	5.414525
AXIN1	TRUE	TRUE	shared_slow	slow	slow	6.02421e-08	2.11185e-05	6.749612	5.396514
AZI2	TRUE	TRUE	shared_slow	slow	slow	4.00058e-06	2.9331e-06	5.784072	5.875458
B3GALNT2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00830137		3.438215	3.037514
B3GNT2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00749018		3.502839	3.214456
B3GNT9	TRUE	TRUE	shared_slow	slow	slow	0.00278025	0.00135652	3.885773	4.173327
B4GAT1	TRUE	TRUE	shared_slow	slow	slow	0.00444186	0.00539301	3.706654	3.687251
BAHCC1	TRUE	TRUE	shared_slow	slow	slow	3.11543e-05	0.000408379	5.279793	4.558325
BAIAP3	TRUE	TRUE	shared_slow	slow	slow	1.54705e-05	1.37505e-05	5.476484	5.536498
BAK1	TRUE	TRUE	shared_slow	slow	slow	0.000624951	0.00549391	4.345072	3.665669
BAMBI	FALSE	FALSE	shared_fast	fast	fast	0.00577839	0.00454136	-3.642727	-3.788023
BAZ1B	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00320019		3.838153	2.865037
BAZ2A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00718333		3.507338	3.012047
BCL2A1	TRUE	TRUE	shared_slow	slow	slow	4.15773e-08	1.11351e-07	6.750556	6.565893
BCL2L10	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00236873	3.250849	4.061287
BCL2L12	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0013962		4.072338	1.633098
BCL2L15	TRUE	TRUE	shared_slow	slow	slow	0.00715953	0.00281354	3.514218	3.910149
BCL6B	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00465871		3.692291	2.749124
BCLAF3	TRUE	TRUE	shared_slow	slow	slow	1.54815e-05	0.000106078	5.401317	4.927165
BCO1	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00862187		-3.475088	-3.035634
BDP1	TRUE	TRUE	shared_slow	slow	slow	6.94296e-05	9.39596e-05	4.889477	4.900218
BEND3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00853139		3.457250	2.558015
BHLHB9	TRUE	TRUE	shared_slow	slow	slow	9.14036e-06	0.000132999	5.563205	4.863919
BICRA	TRUE	TRUE	shared_slow	slow	slow	0.000426676	0.000985582	4.416096	4.225600
BMPR1A	TRUE	TRUE	shared_slow	slow	slow	0.00832833	0.00878732	3.444865	3.482310
BMPR2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00151315		4.065452	2.798813
BMT2	TRUE	TRUE	shared_slow	slow	slow	0.00486492	0.00587951	3.674166	3.663774
BRD2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00162437		4.051615	3.363247
BRD4	TRUE	TRUE	shared_slow	slow	slow	0.00347245	0.00654101	3.746601	3.579116
BRPF3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00199428		3.998264	3.324679
BRS3	TRUE	TRUE	shared_slow	slow	slow	0.00467717	0.00342878	3.691325	3.851933
BRWD3	TRUE	TRUE	shared_slow	slow	slow	0.00055734	0.00505111	4.380331	3.697693
BTK	TRUE	TRUE	shared_slow	slow	slow	0.000149782	0.000453604	4.837882	4.533959
BTNL2	TRUE	TRUE	shared_slow	slow	slow	7.59025e-06	3.83746e-05	5.501298	5.158919
BTNL9	TRUE	TRUE	shared_slow	slow	slow	0.000464113	0.000193359	4.455490	4.778477
C11orf65	TRUE	TRUE	shared_slow	slow	slow	0.000894797	0.000879873	4.274939	4.334422
C11orf80	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00676382		3.558065	3.238212
C12orf40	TRUE	TRUE	shared_slow	slow	slow	0.000148617	0.000130569	4.860429	4.929896
C15orf48	TRUE	TRUE	shared_slow	slow	slow	0.00996127	0.00737174	3.387663	3.558963
C16orf91	TRUE	TRUE	shared_slow	slow	slow	0.00762656	0.00536994	3.494639	3.687341
C17orf99	TRUE	TRUE	shared_slow	slow	slow	0.00635342	0.00296163	3.588549	3.893808
C19orf25	FALSE	FALSE	shared_fast	fast	fast	0.00742124	0.0092553	-3.546315	-3.521192
C19orf44	TRUE	TRUE	shared_slow	slow	slow	0.00446985	0.00814857	3.699447	3.524844
C1QA	TRUE	TRUE	shared_slow	slow	slow	0.00110676	0.00449798	4.159153	3.732574
C1orf112	TRUE	TRUE	shared_slow	slow	slow	6.46448e-07	0.000355388	6.250179	4.602495
C20orf204	TRUE	TRUE	shared_slow	slow	slow	0.000454095	0.000827685	4.482269	4.343643
C20orf27	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00366901		3.735912	3.374692
C2CD5	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00732235		3.509186	3.374646
C2orf81	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00126728	3.344848	4.265074
C2orf88	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00459908		3.677279	3.226647
C3	TRUE	TRUE	shared_slow	slow	slow	0.00213034	0.00723529	3.880885	3.533079
C4orf47	TRUE	TRUE	shared_slow	slow	slow	0.00329742	0.00385441	3.818256	3.809973
C6orf136	TRUE	TRUE	shared_slow	slow	slow	0.00104034	0.00594983	4.161454	3.631978
CA1	TRUE	TRUE	shared_slow	slow	slow	0.000738625	0.00283917	4.275204	3.885947
CA2	TRUE	TRUE	shared_slow	slow	slow	0.00546107	0.00334362	3.629170	3.852195
CAAP1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00436451		3.717699	3.182142
CACHD1	TRUE	TRUE	shared_slow	slow	slow	0.000434974	0.00135652	4.492707	4.169629
CACNA1C	FALSE	FALSE	shared_fast	fast	fast	0.000940706	0.00269573	-4.303153	-3.972660
CACNA1F	TRUE	TRUE	shared_slow	slow	slow	0.000245764	0.000840816	4.627443	4.294709
CACNA1G	FALSE	FALSE	shared_fast	fast	fast	0.000676535	0.000191132	-4.377585	-4.848159
CACNB2	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00777824		-3.521503	-3.433364
CACNB3	TRUE	TRUE	shared_slow	slow	slow	0.00512139	0.00670693	3.651588	3.602278
CALCRL	TRUE	FALSE	marine_only_slow	slow	not_significant	3.98533e-06		5.757349	2.880345
CALHM1	FALSE	FALSE	shared_fast	fast	fast	1.56547e-05	2.12363e-05	-5.654499	-5.585289
CALML3	FALSE	FALSE	shared_fast	fast	fast	3.54891e-05	0.000104286	-5.318328	-5.038576
CALR3	TRUE	TRUE	shared_slow	slow	slow	0.00131752	0.000499394	4.118953	4.482028
CAPN12	FALSE	FALSE	shared_fast	fast	fast	1.35965e-06	1.64695e-06	-6.270059	-6.204026
CAPN13	FALSE	FALSE	shared_fast	fast	fast	0.00397642	0.00558711	-3.878196	-3.773058
CAPN14	FALSE	FALSE	shared_fast	fast	fast	1.73846e-05	4.10586e-05	-5.626582	-5.412156
CAPSL	FALSE	FALSE	shared_fast	fast	fast	0.00216953	0.00755315	-4.005061	-3.586578
CAPZA1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00819352		3.445611	3.404051
CASP1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00232438		3.994863	3.375305
CASTOR1	TRUE	TRUE	shared_slow	slow	slow	0.000242071	0.000125867	4.673074	4.916627
CATSPER1	TRUE	TRUE	shared_slow	slow	slow	0.000532234	0.000191132	4.348332	4.719945
CATSPER2	TRUE	TRUE	shared_slow	slow	slow	0.0049796	0.0032531	3.634327	3.832033
CATSPER4	TRUE	TRUE	shared_slow	slow	slow	1.73604e-05	1.55286e-05	5.364427	5.451486
CATSPERB	TRUE	TRUE	shared_slow	slow	slow	3.1691e-10	2.16498e-09	7.777186	7.363316
CATSPERD	TRUE	TRUE	shared_slow	slow	slow	1.25747e-05	1.21822e-06	5.463699	6.038872
CATSPERE	TRUE	TRUE	shared_slow	slow	slow	1.17218e-07	2.88083e-08	6.643841	6.934987
CATSPERG	TRUE	TRUE	shared_slow	slow	slow	3.29166e-12	7.95962e-15	8.642820	9.530151
CATSPERZ	TRUE	TRUE	shared_slow	slow	slow	2.72593e-11	1.56258e-11	8.219833	8.251177
CBARP	TRUE	TRUE	shared_slow	slow	slow	0.000264687	0.000223888	4.627289	4.711527
CBFB	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0033763		3.802609	2.954276
CBLB	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00881686	3.329948	3.485644
CBX2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00652724		3.552026	2.391887
CBX7	TRUE	TRUE	shared_slow	slow	slow	1.39642e-05	3.85216e-05	5.458225	5.239738
CBY2	FALSE	FALSE	shared_fast	fast	fast	9.61919e-05	0.000293186	-5.047977	-4.730539
CCDC102B	TRUE	TRUE	shared_slow	slow	slow	0.00107029	0.00453881	4.219934	3.764555
CCDC158	FALSE	FALSE	shared_fast	fast	fast	0.00489076	0.000923677	-3.709252	-4.362492
CCDC174	TRUE	TRUE	shared_slow	slow	slow	0.00628729	0.00306051	3.555088	3.862047
CCDC175	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00845681	3.057396	3.494474
CCDC178	TRUE	TRUE	shared_slow	slow	slow	4.11098e-05	6.78904e-06	5.223572	5.745336
CCDC189	TRUE	TRUE	shared_slow	slow	slow	0.000296355	0.00209632	4.559377	4.000289
CCDC28B	TRUE	TRUE	shared_slow	slow	slow	4.82672e-05	0.00447008	5.016891	3.716605
CCDC33	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00626229		-3.607643	-3.227734
CCDC39	TRUE	TRUE	shared_slow	slow	slow	0.000702067	0.00158486	4.275633	4.075132
CCDC40	TRUE	TRUE	shared_slow	slow	slow	0.000118408	5.80097e-05	4.871490	5.115683
CCDC51	TRUE	TRUE	shared_slow	slow	slow	0.00111551	0.0023579	4.187259	3.976696
CCDC57	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000116856		4.880722	3.383766
CCDC73	TRUE	TRUE	shared_slow	slow	slow	0.000247847	0.00599269	4.685396	3.656838
CCDC78	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0024784		3.908453	3.242262
CCDC93	FALSE	FALSE	shared_fast	fast	fast	0.00381319	0.00661948	-3.785684	-3.634204
CCL25	TRUE	TRUE	shared_slow	slow	slow	0.00705329	0.00642336	3.512837	3.607202
CCNE1	TRUE	TRUE	shared_slow	slow	slow	0.000256312	0.000315923	4.634088	4.603939
CCNF	TRUE	TRUE	shared_slow	slow	slow	0.000367292	0.00100892	4.529498	4.257579
CCNG2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00456982		3.672693	1.235006
CCNI2	TRUE	TRUE	shared_slow	slow	slow	0.0015202	0.00259339	4.068039	3.942508
CCNP	TRUE	TRUE	shared_slow	slow	slow	0.000185984	0.000125959	4.719828	4.877464
CCR3	TRUE	TRUE	shared_slow	slow	slow	0.000720746	0.000315923	4.320604	4.632415
CCR5	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00841873		3.447798	3.337943
CCRL2	TRUE	TRUE	shared_slow	slow	slow	1.25428e-06	2.25329e-07	6.116054	6.502570
CCSAP	TRUE	TRUE	shared_slow	slow	slow	0.000138648	0.00431615	4.791672	3.747047
CD2	TRUE	TRUE	shared_slow	slow	slow	0.00159533	0.00126728	4.069286	4.197011
CD244	TRUE	TRUE	shared_slow	slow	slow	0.000479381	0.000864466	4.450977	4.318265
CD28	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00217693		3.968910	3.051076
CD320	TRUE	TRUE	shared_slow	slow	slow	0.000111499	0.000487536	4.927770	4.512937
CD34	TRUE	TRUE	shared_slow	slow	slow	0.000630881	0.000512643	4.402528	4.520752
CD58	TRUE	TRUE	shared_slow	slow	slow	3.36607e-05	2.50836e-05	5.195796	5.337870
CD5L	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00689163		3.488674	2.631655
CD6	TRUE	TRUE	shared_slow	slow	slow	0.000220283	0.000559366	4.712465	4.461096
CD80	TRUE	TRUE	shared_slow	slow	slow	1.15591e-08	1.83268e-08	7.094196	6.966641
CD86	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.0030975	3.101267	3.873326
CD8A	TRUE	TRUE	shared_slow	slow	slow	5.2586e-05	0.00223676	5.119026	3.998169
CDC14B	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00778845	3.077328	3.550715
CDC25B	TRUE	TRUE	shared_slow	slow	slow	2.51667e-05	0.000249423	5.367023	4.730823
CDC42BPB	TRUE	TRUE	shared_slow	slow	slow	0.00023047	0.000194628	4.671083	4.755844
CDCA2	TRUE	TRUE	shared_slow	slow	slow	0.000173304	0.00020649	4.773717	4.752680
CDH19	TRUE	TRUE	shared_slow	slow	slow	0.00315674	0.00254038	3.833944	3.952720
CDHR4	TRUE	TRUE	shared_slow	slow	slow	8.54043e-06	4.08647e-06	5.631432	5.816277
CDK17	TRUE	TRUE	shared_slow	slow	slow	0.00571425	0.00912512	3.620865	3.491315
CDK19	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00453325		3.694512	3.177139
CDK4	TRUE	TRUE	shared_slow	slow	slow	0.00375389	0.00991054	3.755108	3.443191
CDKN1C	TRUE	TRUE	shared_slow	slow	slow	1.78589e-09	4.53759e-10	7.396669	7.618892
CDO1	TRUE	TRUE	shared_slow	slow	slow	0.000363362	0.00036026	4.533763	4.581662
CDS2	TRUE	TRUE	shared_slow	slow	slow	1.67097e-05	0.000258775	5.483981	4.715041
CDSN	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00360686		3.709169	3.256466
CELSR3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000643493		4.366112	3.278846
CEMIP2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00223948		3.955643	3.343121
CENPC	TRUE	TRUE	shared_slow	slow	slow	5.726e-08	2.25318e-07	6.939915	6.593731
CENPI	TRUE	TRUE	shared_slow	slow	slow	0.00187458	0.00447008	3.923755	3.709880
CENPK	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00682864	3.258466	3.599787
CENPL	TRUE	TRUE	shared_slow	slow	slow	1.73604e-05	2.25987e-05	5.427767	5.395651
CENPP	TRUE	TRUE	shared_slow	slow	slow	6.40004e-05	0.000185709	5.041593	4.777213
CENPT	TRUE	TRUE	shared_slow	slow	slow	0.000524814	0.000789205	4.412648	4.349403
CEP170	TRUE	TRUE	shared_slow	slow	slow	8.08671e-07	2.82225e-05	6.203428	5.330427
CEP192	TRUE	TRUE	shared_slow	slow	slow	3.98533e-06	3.90073e-05	5.602300	5.136700
CEP350	TRUE	TRUE	shared_slow	slow	slow	1.97322e-05	0.00129	5.317558	4.149070
CEP85L	TRUE	TRUE	shared_slow	slow	slow	0.000150579	0.00126728	4.789060	4.170079
CFAP36	TRUE	TRUE	shared_slow	slow	slow	0.00333198	0.00845681	3.788494	3.498993
CFAP43	TRUE	TRUE	shared_slow	slow	slow	1.7096e-05	0.000239516	5.415524	4.706936
CFI	TRUE	TRUE	shared_slow	slow	slow	0.000816511	0.000205252	4.270912	4.753725
CFL1	TRUE	TRUE	shared_slow	slow	slow	2.45444e-05	0.00071471	5.199780	4.321243
CFLAR	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00904245		3.433795	2.582084
CGA	TRUE	TRUE	shared_slow	slow	slow	0.000137119	0.000213704	4.791494	4.704430
CHAF1A	TRUE	TRUE	shared_slow	slow	slow	0.000544252	0.00289474	4.390246	3.886201
CHD1	TRUE	TRUE	shared_slow	slow	slow	2.98805e-06	6.95846e-06	5.926016	5.737914
CHD9	TRUE	TRUE	shared_slow	slow	slow	0.000144194	0.00305869	4.843047	3.881306
CHM	TRUE	TRUE	shared_slow	slow	slow	0.000169842	0.000843309	4.826531	4.355479
CHRD	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00162437		4.066305	3.321535
