species_id	common_name_paper	sampled_scientific_name	score_foraging_medium_0_3	score_locomotion_escape_0_3	score_reproduction_nursery_0_3	score_morphophysiology_0_5	score_time_budget_0_4	aquaticity_score_sum_0_18	comments_ty_nk	aquatic_v2_status	score_status	score_confidence	aquaticity_reason	aquaticity_citation_or_url	trait_marine_binary	marine_trait_state	marine_membership_source	score_source	aquatic_trait_source	aquatic_scoring_scheme	aquatic_score_range
Eubalaena_glacialis	North Atlantic right whale	Eubalaena glacialis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes North Atlantic right whale with aquatic biomes (coastal), habitat regions (temperate, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Eubalaena_glacialis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Eubalaena_japonica	North Pacific right whale	Eubalaena japonica	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes North Pacific right whale with aquatic biomes (pelagic, coastal), habitat regions (temperate, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Eubalaena_japonica/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Globicephala_melas	Long-finned pilot whale	Globicephala melas	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes long-finned pilot whale with aquatic biomes (pelagic, coastal), habitat regions (saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Globicephala_melas/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Grampus_griseus	Risso's dolphin	Grampus griseus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Risso's dolphin with aquatic biomes (pelagic, benthic, coastal), habitat regions (temperate, tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Grampus_griseus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Hydrodamalis_gigas	Steller's sea cow	Hydrodamalis gigas	3	3	3	5	4	18			manual_curated_extinct_marine	High	Manual curator check: Steller's sea cow is an extinct sirenian/marine sea cow; scored maximum across aquatic foraging, locomotion, reproduction/nursery association, aquatic specialization, and time budget.	https://en.wikipedia.org/wiki/Steller%27s_sea_cow	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Inia_geoffrensis	Boutu	Inia geoffrensis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Amazon river dolphin with aquatic biomes (lakes and ponds, rivers and streams, temporary pools), habitat regions (tropical, freshwater), supporting freshwater or riparian habitat association.	https://animaldiversity.org/accounts/Inia_geoffrensis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Kogia_breviceps	Pygmy sperm whale	Kogia breviceps	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes pygmy sperm whale with aquatic biomes (benthic, coastal), habitat text states 'K', supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Kogia_breviceps/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Lagenorhynchus_obliquidens	Pacific white-sided dolphin	Lagenorhynchus obliquidens	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Pacific white-sided dolphin with aquatic biomes (pelagic, coastal), habitat regions (temperate, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Lagenorhynchus_obliquidens/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Lipotes_vexillifer	Yangtze River dolphin	Lipotes vexillifer	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes baiji with aquatic biomes (lakes and ponds, rivers and streams), other habitat features (riparian, estuarine), habitat regions (freshwater), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Lipotes_vexillifer/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Megaptera_novaeangliae	Humpback whale	Megaptera novaeangliae	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes humpback whale with aquatic biomes (benthic, coastal), habitat regions (temperate, tropical, polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Megaptera_novaeangliae/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_bidens	Sowerby's beaked whale	Mesoplodon bidens	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Sowerby's beaked whale with aquatic biomes (pelagic), habitat regions (temperate, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Mesoplodon_bidens/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_densirostris	Blainville's beaked whale	Mesoplodon densirostris	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Blainville's beaked whale with habitat regions (temperate, tropical), habitat text states 'Blainville's beaked whales seem to prefer warm temperates and tropical waters, avoiding the Arctic and Antarctic Oceans', supporting aquatic behavior but requiring manual habitat review.	https://animaldiversity.org/accounts/Mesoplodon_densirostris/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_europaeus	Gervais' beaked whale	Mesoplodon europaeus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Gervais's beaked whale with aquatic biomes (pelagic), habitat text states 'Mesoplodon europaeus lives in warm to tropical pelagic waters', supporting freshwater or riparian habitat association.	https://animaldiversity.org/accounts/Mesoplodon_europaeus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Mesoplodon_stejnegeri	Stejneger's beaked whale	Mesoplodon stejnegeri	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Stejneger's beaked whale with aquatic biomes (pelagic), habitat regions (temperate, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Mesoplodon_stejnegeri/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Monodon_monoceros	Narwhal	Monodon monoceros	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes narwhal with aquatic biomes (pelagic), habitat regions (polar, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Monodon_monoceros/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Neophocaena_asiaeorientalis_asiaeorientalis	Yangtze finless porpoise	Neophocaena asiaeorientalis asiaeorientalis	3	3	3	5	4	18			marine_obligate_draft	High	Fallback ADW account Neophocaena_phocaenoides describes finless porpoise with aquatic biomes (rivers and streams, coastal), habitat text states 'Neophocaena phocaenoides lives in both fresh and salt water habitats', supporting mixed freshwater and marine/coastal habitat use. Evidence is a congeneric proxy review required.	https://animaldiversity.org/accounts/Neophocaena_phocaenoides/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Orcinus_orca	Killer whale	Orcinus orca	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes killer whale with aquatic biomes (pelagic, coastal), habitat regions (temperate, tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Orcinus_orca/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Peponocephala_electra	Melon-headed whale	Peponocephala electra	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes melon-headed whale with aquatic biomes (pelagic), habitat regions (tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Peponocephala_electra/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Phocoena_phocoena	Harbor porpoise	Phocoena phocoena	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes harbor porpoise with aquatic biomes (pelagic, rivers and streams, coastal, brackish water), other habitat features (estuarine), habitat regions (temperate, polar, saltwater or marine, freshwater), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Phocoena_phocoena/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Phocoena_sinus	Vaquita	Phocoena sinus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes vaquita with aquatic biomes (coastal), habitat text states 'An interesting feature of the vaquita is that it is the only species of porpoise that is found in such warm waters', supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Phocoena_sinus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Physeter_catodon	Sperm whale	Physeter catodon	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes sperm whale with aquatic biomes (benthic), habitat text states 'Sperm whales swim through deep waters to depths of 2 miles, apparently limited in depth only by the time it takes to swim down and back to the surface', supporting freshwater or wetland-associated aquatic use.	https://animaldiversity.org/accounts/Physeter_catodon/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Platanista_minor	Indus River dolphin	Platanista minor	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Indus river dolphin with aquatic biomes (benthic, rivers and streams, brackish water), habitat regions (freshwater), supporting freshwater or wetland-associated aquatic use.	https://animaldiversity.org/accounts/Platanista_minor/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Sousa_chinensis	Indo-pacific humpbacked dolphin	Sousa chinensis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Indo-Pacific humpbacked dolphin with aquatic biomes (reef, brackish water), other habitat features (estuarine), habitat regions (tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Sousa_chinensis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Steno_bredanensis	Rough-toothed dolphin	Steno bredanensis	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes rough-toothed dolphin with aquatic biomes (pelagic, reef, coastal), habitat regions (temperate, tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Steno_bredanensis/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Trichechus_manatus_latirostris	Florida manatee	Trichechus manatus latirostris	3	3	3	5	4	18			reviewed_r1_initial	High	Fallback ADW evidence for West Indian manatee describes movement between freshwater and marine habitats, supporting fully aquatic mixed-salinity coding.	https://animaldiversity.org/accounts/Trichechus_manatus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Tursiops_aduncus	Indo-pacific bottlenose dolphin	Tursiops aduncus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes Indo-Pacific bottlenose dolphin with aquatic biomes (reef, coastal, brackish water), other habitat features (estuarine), habitat regions (tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Tursiops_aduncus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Tursiops_truncatus	Common bottlenose dolphin	Tursiops truncatus	3	3	3	5	4	18			marine_obligate_draft	High	ADW describes bottlenosed dolphin with aquatic biomes (pelagic, coastal, brackish water), other habitat features (estuarine), habitat regions (temperate, tropical, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Tursiops_truncatus/	1	marine	Berta_2015_and_SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Enhydra_lutris_kenyoni	Sea otter	Enhydra lutris kenyoni	3	3	1	3	3	13	"Sea otters give birth and provide milk to pups ""on"" the water, but not ""in"" water"	1	reviewed_round2_override	High	Sea otter is substantially more water-dependent than river otters and should sit above otariids because routine foraging, locomotion, resting, and much of nursery behavior occur in the marine environment.	https://animaldiversity.org/accounts/Enhydra_lutris/	1	marine	SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Erignathus_barbatus	Bearded seal	Erignathus barbatus	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Erignathus_barbatus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Halichoerus_grypus	Gray seal	Halichoerus grypus	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Halichoerus_grypus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Leptonychotes_weddellii	Weddell seal	Leptonychotes weddellii	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Leptonychotes_weddellii/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Mirounga_angustirostris	Northern elephant seal	Mirounga angustirostris	3	3	2	4	3	15		1	reviewed_round2_override	High	Elephant seals should sit above sea lions and fur seals on the aquaticity gradient because most of life is spent at sea and reproduction remains strongly marine-environment dependent.	https://animaldiversity.org/accounts/Mirounga_angustirostris/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Mirounga_leonina	Southern elephant seal	Mirounga leonina	3	3	2	4	3	15		1	reviewed_round2_override	High	Elephant seals should sit above sea lions and fur seals on the aquaticity gradient because most of life is spent at sea and reproduction remains strongly marine-environment dependent.	https://animaldiversity.org/accounts/Mirounga_leonina/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Neomonachus_schauinslandi	Hawaiian monk seal	Neomonachus schauinslandi	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Monachus_schauinslandi/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Phoca_largha	Spotted seal	Phoca largha	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Phoca_largha/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Phoca_vitulina	Harbor seal	Phoca vitulina	3	3	2	4	3	15		1	reviewed_round2_override	High	True seals should sit above sea lions and fur seals on the aquaticity gradient because locomotion, time budget, and reproduction are more tightly tied to the marine environment.	https://animaldiversity.org/accounts/Phoca_vitulina/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Odobenus_rosmarus_divergens	Pacific walrus	Odobenus rosmarus divergens	3	3	1	4	3	14		1	reviewed_round2_override	High	Walrus is more strongly water-adapted than a shore-mobile otariid template but still retains shore or ice-based reproduction.	https://animaldiversity.org/accounts/Odobenus_rosmarus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Callorhinus_ursinus	Northern fur seal	Callorhinus ursinus	3	3	1	4	3	14	greater terrestrial competence is only for reproductive seasons	1	reviewed_round2_override	High	Fur seals are strongly water-adapted marine mammals, but their reproductive dependence on land and greater terrestrial competence keep them below sea otters and true seals.	https://animaldiversity.org/accounts/Callorhinus_ursinus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Castor_canadensis	American beaver	Castor canadensis	3	2	2	4	3	14		1	reviewed_round2_override	High	Beaver is one of the clearest freshwater semi-aquatic mammals and should score above the weak-boundary class.	https://animaldiversity.org/accounts/Castor_canadensis/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Eumetopias_jubatus	Steller sea lion	Eumetopias jubatus	3	3	1	4	3	14	greater terrestrial competence is only for reproductive seasons	1	reviewed_round2_override	High	Sea lions are strongly water-adapted marine mammals, but their reproductive dependence on land and greater terrestrial competence keep them below sea otters and true seals.	https://animaldiversity.org/accounts/Eumetopias_jubatus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Pteronura_brasiliensis	Giant otter	Pteronura brasiliensis	3	3	1	2	3	12			reviewed_r1_initial	High	ADW describes giant otter with rivers/lakes and aquatic prey, supporting freshwater semi-aquatic coding.	https://animaldiversity.org/accounts/Pteronura_brasiliensis/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Zalophus_californianus	California sea lion	Zalophus californianus	3	3	1	4	3	14	greater terrestrial competence is only for reproductive seasons	1	reviewed_round2_override	High	Sea lions are strongly water-adapted marine mammals, but their reproductive dependence on land and greater terrestrial competence keep them below sea otters and true seals.	https://animaldiversity.org/accounts/Zalophus_californianus/	1	marine	Berta_2015_and_SMM_2025	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Hippopotamus_amphibius	Hippopotamus	Hippopotamus amphibius	2	2	2	2	3	11		1	reviewed_round2_override	High	Strong semi-aquatic mammal with routine water-based locomotion, resting, mating, and nursery use; should be aquatic_v2 positive rather than zero.	https://animaldiversity.org/accounts/Hippopotamus_amphibius/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Aonyx_cinereus	Asian small-clawed otter	Aonyx cinereus	3	2	1	2	2	10			reviewed_r1_initial	Medium-Low	Fallback ADW evidence for Aonyx cinerea describes freshwater, coastal, and natatorial ecology; treated as aquatic with congeneric-proxy review required.	https://animaldiversity.org/accounts/Aonyx_cinerea/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Lontra_canadensis	Northern American river otter	Lontra canadensis	3	2	1	2	2	10			reviewed_r1_initial	High	ADW describes northern river otter as using freshwater and coastal marine habitats with natatorial behavior and aquatic prey, supporting mixed-salinity aquatic coding.	https://animaldiversity.org/accounts/Lontra_canadensis/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Lutra_lutra	Eurasian river otter	Lutra lutra	3	2	1	2	2	10			reviewed_r1_initial	High	ADW describes European otter with freshwater and coastal/ocean evidence; treated as aquatic but not freshwater-restricted.	https://animaldiversity.org/accounts/Lutra_lutra/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Ondatra_zibethicus	Muskrat	Ondatra zibethicus	3	2	2	1	2	10			reviewed_r1_initial	High	ADW describes muskrat with lakes, rivers, marshes, swamps, aquatic nesting, and routine swimming, supporting freshwater semi-aquatic coding.	https://animaldiversity.org/accounts/Ondatra_zibethicus/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Neovison_vison	American mink	Neovison vison	3	2	1	1	2	9			reviewed_r1_initial	High	ADW describes American mink with freshwater habitats and natatorial behavior; moved out of terrestrial and flagged for salinity sensitivity.	https://animaldiversity.org/accounts/Neovison_vison/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Hydrochoerus_hydrochaeris	Capybara	Hydrochoerus hydrochaeris	2	2	1	1	2	8		1	reviewed_round2_override	High	Classic semi-aquatic rodent with regular swimming, water refuge, and strong dependence on marshy/riparian habitat.	https://animaldiversity.org/accounts/Hydrochoerus_hydrochaeris/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Kobus_leche_leche	Lechwe	Kobus leche leche	2	2	1	1	2	8			reviewed_r1_initial	Medium	Fallback ADW evidence is sparse for lechwe despite reviewer concern; this taxon is flagged for sensitivity/manual source confirmation.	https://animaldiversity.org/accounts/Kobus_leche/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Myocastor_coypus	Nutria	Myocastor coypus	2	2	1	1	2	8		1	reviewed_round2_override	High	Semi-aquatic rodent that routinely feeds and moves in wetland habitats; current zero is a clear false negative.	https://animaldiversity.org/accounts/Myocastor_coypus/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Arvicola_amphibius	Eurasian water vole	Arvicola amphibius	2	2	0	1	2	7		1	reviewed_round2_override	High	Common name should be corrected to water vole, and under the current threshold logic a score of 7 supports coding this semi-aquatic rodent as aquatic rather than boundary-only.	https://animaldiversity.org/accounts/Arvicola_amphibius/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
Ursus_maritimus	Polar bear	Ursus maritimus	2	2	0	2	1	7			marine_semi_aquatic_draft	Medium	ADW describes polar bear with aquatic biomes (coastal), habitat regions (polar, terrestrial, saltwater or marine), supporting mixed freshwater and marine/coastal habitat use.	https://animaldiversity.org/accounts/Ursus_maritimus/	1	marine	SMM_2025	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Alces_alces	Eurasian elk	Alces alces	2	1	0	0	1	4			reviewed_r1_initial	High	ADW describes moose as terrestrial but strongly associated with ponds, rivers, swamps, swimming, and aquatic vegetation; treated as sensitivity rather than conservative aquatic coding.	https://animaldiversity.org/accounts/Alces_alces/	0	non-marine	not_listed	original_aquatic_table	TY_NK_final_18pt	3+3+3+5+4	0-18
Elaphurus_davidianus	Pere David's deer	Elaphurus davidianus	2	1	0	0	1	4		0.5	reviewed_round2_override	High	Wetland-adapted deer with consistent marsh association, best treated as a weak aquatic boundary taxon comparable to moose.	https://animaldiversity.org/accounts/Elaphurus_davidianus/	0	non-marine	not_listed	aquatic_new_round2_audit_override	TY_NK_final_18pt	3+3+3+5+4	0-18
